country,year,luminosity,avg_luminosity,avg_luminosity/pixel_count,norm_viirs,norm_viirs/pixel
Albania,2012,121805.14565203545,40601.71521734514,0.008688709780536987,161038.4244080486,0.05237048889448817
Albania,2013,133856.59920374386,44618.86640124794,0.009548374466982573,165055.5755919514,0.05323015358093376
Albania,2014,108442.08831917176,36147.362773057255,0.007735484641119499,156584.0719637607,0.051417263755070684
Albania,2015,59634.974544914265,19878.324848304757,0.004253933475607746,140315.03403900826,0.047935712589558935
Albania,2016,51327.107552575966,17109.035850858654,0.003661309536731285,137545.74504156213,0.04734308865068247
Albania,2017,149801.4797087247,49933.826569574914,0.010685768445303438,170370.53576027838,0.054367547559254624
Albania,2018,196092.9766058769,65364.32553529232,0.013987873456490729,185801.0347259958,0.057669652570441925
Armenia,2012,68899.03321070211,22966.344403567367,0.004914765304230532,144881.73781627393,0.04778566333327231
Armenia,2013,81104.60631305836,27034.868771019454,0.005785423779484609,148950.26218372607,0.04865632180852638
Armenia,2014,24720.54692602828,8240.18230867609,0.0017633873898070102,130155.57572138267,0.04463428541884879
Armenia,2015,49452.88572046143,16484.29524015381,0.0035276159273487217,138399.68865286038,0.0463985139563905
Armenia,2016,53959.72529059372,17986.575096864573,0.003849101697450629,139901.96850957116,0.046719999726492406
Armenia,2017,97889.54928790644,32629.849762635484,0.006982741818969922,154545.24317534207,0.049853639848011694
Armenia,2018,58565.91256685202,19521.970855617343,0.004177674223873627,141437.36426832393,0.0470485722529154
Benin,2012,130886.78463833244,43628.92821277748,0.009336529091134612,57777.24393497671,0.06408427943070548
Benin,2013,93739.3210284722,31246.440342824062,0.006686694154676482,45394.75606502329,0.061434444494247335
Benin,2014,113506.69300406965,37835.56433468988,0.008096757393798894,51983.88005688911,0.06284450773336975
Benin,2015,146226.34211678046,48742.11403892682,0.010430743644868231,62890.429761126055,0.06517849398443909
Benin,2016,74175.9737785787,24725.32459285957,0.0052911845833831725,38873.6403150588,0.06003893492295403
Benin,2017,279171.40818799386,93057.13606266463,0.019914095843690426,107205.45178486386,0.07466184618326129
Benin,2018,338434.94298012584,112811.64766004196,0.02414153345826042,126959.96338224119,0.07888928379783128
Bosnia and Herzegovina,2012,221214.996015148,73738.33200504932,0.015779899027986162,405876.18480314076,0.05771999276234682
Bosnia and Herzegovina,2013,167963.88719630335,55987.96239876778,0.011981344972310248,388125.81519685924,0.05392143870667089
Bosnia and Herzegovina,2014,153258.48628792496,51086.16209597498,0.010932366622377872,383224.0148940664,0.05287246035673853
Bosnia and Herzegovina,2015,196845.98349528425,65615.3278317614,0.014041587593851523,397753.18062985287,0.05598168132821218
Bosnia and Herzegovina,2016,186136.77971707843,62045.593239026144,0.013277669426754731,394183.44603711757,0.05521776316111539
Bosnia and Herzegovina,2017,379171.54956698435,126390.51652232815,0.02704739223936858,458528.3693204196,0.06898748597372924
Bosnia and Herzegovina,2018,398585.6005596002,132861.86685320007,0.028432252081179093,464999.71965129155,0.07037234581553975
Cambodia,2012,193559.4344704798,64519.81149015994,0.013807148642170378,95719.22892952984,0.04946600904305235
Cambodia,2013,136654.06089330072,45551.35363110023,0.009747925418731087,76750.77107047015,0.04540678581961306
Cambodia,2014,224262.8304983357,74754.27683277857,0.01599730978794849,105953.69427214848,0.05165617018883047
Cambodia,2015,167281.3078614077,55760.43595380257,0.011932654634054402,86959.85339317247,0.04759151503493637
