Country,Year,pixel_count,luminosity,avg_luminosity,avg_luminosity/pixel_count,normalizedviirs,normalizedviirs/pixel
Germany,2016,3997792,687945.0265,229315.0088,0.057360415,9648778.601,9.550731356
Germany,2017,3997792,302868.1587,100956.0529,0.025252953,9520419.645,9.523262721
Germany,2018,3997792,354031.6563,118010.5521,0.029518932,9537474.144,9.526912359
India,2012,46361728,983396.6598,327798.8866,0.007070463,20528121.7,1.780918961
India,2013,46361728,523372.4424,174457.4808,0.003762963,20374780.3,1.748104116
India,2014,46361728,393712.7728,131237.5909,0.002830731,20331560.41,1.738855121
India,2015,46361728,512688.9724,170896.3241,0.003686151,20371219.14,1.747342034
India,2016,46361728,968815.88,322938.6267,0.00696563,20523261.44,1.779878872
India,2017,46361728,1324873.398,441624.4659,0.009525626,20641947.28,1.805277474
India,2018,46361728,1365915.602,455305.2006,0.009820712,20655628.02,1.808205132
Indonesia,2012,27304773,60338.95393,20112.98464,0.000736611,3018357.877,0.285974361
Indonesia,2013,27304773,216924.6934,72308.23112,0.00264819,3070553.123,0.29714407
Indonesia,2014,27304773,83798.49208,27932.83069,0.001023002,3026177.723,0.287647797
Indonesia,2015,27304773,220883.088,73627.69601,0.002696514,3071872.588,0.297426434
Indonesia,2016,27304773,120447.4637,40149.15456,0.001470408,3038394.047,0.290262073
Indonesia,2017,27304773,316767.4282,105589.1427,0.003867058,3103834.035,0.304266138
Indonesia,2018,27304773,299693.4874,99897.82913,0.003658621,3098142.721,0.303048205
Iran,2012,13398582,205672.4033,68557.46778,0.00511677,7685788.786,1.895290898
Iran,2013,13398582,97955.68928,32651.89643,0.002436967,7649883.214,1.887607156
Iran,2014,13398582,89640.09966,29880.03322,0.002230089,7647111.351,1.887013981
Iran,2015,13398582,61959.65399,20653.218,0.001541448,7637884.536,1.885039456
Iran,2016,13398582,76471.14894,25490.38298,0.001902469,7642721.701,1.886074602
Iran,2017,13398582,99616.54695,33205.51565,0.002478286,7650436.834,1.88772563
Iran,2018,13398582,210152.0756,70050.69187,0.005228217,7687282.01,1.895610446
Italy,2012,7096320,1824988.781,608329.5936,0.085724656,9324001.951,5.258112005
Italy,2013,7096320,2002568.075,667522.6918,0.094066036,9383195.049,5.270779245
Italy,2014,7096320,1459492.029,486497.3429,0.068556286,9202169.7,5.232040076
Italy,2015,7096320,1815658.437,605219.4791,0.085286385,9320891.836,5.257446445
Italy,2016,7096320,2130658.465,710219.4884,0.100082788,9425891.846,5.279916299
Italy,2017,7096320,1605077.083,535025.6943,0.075394809,9250698.052,5.242425074
Italy,2018,7096320,2099042.359,699680.7864,0.098597694,9415353.144,5.277661032
Japan,2012,13501278,341036.9945,113678.9982,0.008419869,8025250.249,2.378225433
Japan,2013,13501278,429535.5013,143178.5004,0.010604811,8054749.751,2.384538285
Japan,2014,13501278,703542.59,234514.1967,0.017369778,8146085.447,2.404083995
Japan,2015,13501278,528366.454,176122.1513,0.01304485,8087693.402,2.39158818
Japan,2016,13501278,579852.4919,193284.164,0.01431599,8104855.415,2.395260826
Japan,2017,13501278,337379.6823,112459.8941,0.008329574,8024031.145,2.377964547
Japan,2018,13501278,715423.2836,238474.4279,0.0176631,8150045.679,2.404931479
Korea,2012,1995664,191956.279,63985.42635,0.032062224,47588.38538,0.146287832
Korea,2013,1995664,364006.9668,121335.6556,0.060799641,104938.6146,0.1585607
Korea,2014,1995664,95284.39188,31761.46396,0.015915236,15364.42299,0.139391949
Korea,2015,1995664,325231.0989,108410.3663,0.054322955,92013.32534,0.155794706
Korea,2016,1995664,301071.1505,100357.0502,0.050287548,83960.00919,0.154071308
Korea,2017,1995664,794778.6557,264926.2186,0.132750913,248529.1776,0.189288878
Korea,2018,1995664,497321.5453,165773.8484,0.083067014,149376.8075,0.168070411
Mexico,2012,31764105,92600.83377,30866.94459,0.000971756,6826558.467,0.859743284
Mexico,2013,31764105,92091.02901,30697.00967,0.000966406,6826388.533,0.859706918
Mexico,2014,31764105,46104.68402,15368.22801,0.000483824,6811059.751,0.85642658
Mexico,2015,31764105,69505.10965,23168.36988,0.000729388,6818859.893,0.8580958
Mexico,2016,31764105,79564.65563,26521.55188,0.000834954,6822213.075,0.858813376
Mexico,2017,31764105,184477.8732,61492.62442,0.001935916,6857184.147,0.866297136
Mexico,2018,31764105,102848.9622,34282.98739,0.0010793,6829974.51,0.860474312
Netherlands,2012,589550,24761.50244,8253.834148,0.014000228,1879071.56,12.68981814
Netherlands,2013,589550,19013.14195,6337.713984,0.010750087,1877155.44,12.6894081
Netherlands,2014,589550,18387.56094,6129.18698,0.010396382,1876946.913,12.68936347
Netherlands,2015,589550,25647.69231,8549.230771,0.014501282,1879366.957,12.68988136
Netherlands,2016,589550,20009.06428,6669.688092,0.011313185,1877487.414,12.68947914
Netherlands,2017,589550,22044.87949,7348.293163,0.012464241,1878166.019,12.68962436
Netherlands,2018,589550,20993.77904,6997.926346,0.011869945,1877815.652,12.68954938
Russia,2012,468000000,2975911.275,991970.425,0.002119595,37514700.7,0.18115682
Russia,2013,468000000,3914097.076,1304699.025,0.002787818,37827429.3,0.248080299
Russia,2014,468000000,6843747.087,2281249.029,0.004874464,38803979.3,0.457060623
Russia,2015,468000000,4345258.515,1448419.505,0.003094913,37971149.78,0.278836279
Russia,2016,468000000,14541841.95,4847280.649,0.010357437,41370010.92,1.00618777
Russia,2017,468000000,5898991.938,1966330.646,0.004201561,38489060.92,0.389668533
Russia,2018,468000000,1803052.735,601017.5784,0.001284226,37123747.85,0.097493462
Saudi Arabia,2012,19171053,43358.85663,14452.95221,0.000753895,6501454.226,1.356505807
Saudi Arabia,2013,19171053,153136.4988,51045.49959,0.002662634,6538046.774,1.36433656
Saudi Arabia,2014,19171053,266863.8543,88954.6181,0.004640049,6575955.892,1.372449058
Saudi Arabia,2015,19171053,208267.1807,69422.39357,0.003621209,6556423.668,1.368269189
Saudi Arabia,2016,19171053,210849.7039,70283.23463,0.003666112,6557284.509,1.368453408
Saudi Arabia,2017,19171053,305678.2008,101892.7336,0.005314926,6588894.008,1.375217796
Saudi Arabia,2018,19171053,419985.0487,139995.0162,0.007302417,6626996.29,1.383371631
Spain,2012,5592016,345476.6742,115158.8914,0.020593448,6314058.984,4.5431631
Spain,2013,5592016,701369.7691,233789.923,0.041807807,6432690.016,4.568549974
Spain,2014,5592016,483792.7733,161264.2578,0.028838304,6360164.351,4.553029584
Spain,2015,5592016,1200284.178,400094.726,0.071547493,6598994.819,4.604138967
Spain,2016,5592016,722916.3765,240972.1255,0.043092174,6439872.218,4.570086955
