year,country,normalizedviirs,normalizedviirsaverage
2012,brazil,2261502.015516421,251278.00172404677
2013,brazil,5174206.920452204,431183.9100376836
2014,brazil,3256963.5731739043,271413.63109782536
2015,brazil,3077578.320893181,256464.86007443175
2016,brazil,3439452.200213189,286621.0166844324
2017,brazil,9972568.10078035,831047.3417316958
2018,brazil,9356191.004016487,779682.5836680406
2019,brazil,2537109.03553049,634277.2588826225
2012,usa,4122633.352759737,458070.37252885965
2013,usa,5170515.975875144,430876.33132292866
2014,usa,4684052.069329363,390337.6724441136
2015,usa,4176578.813046495,348048.23442054127
2016,usa,4086081.047330265,340506.75394418876
2017,usa,4974503.54887853,414541.9624065442
2018,usa,3626467.5410455368,302205.6284204614
2019,usa,1729118.3728059581,432279.59320148954
2012,mexico,304491.99830560444,33832.44425617827
2013,mexico,362081.1511414984,30173.429261791534
2014,mexico,283587.3800272517,23632.281668937645
2015,mexico,270494.12957779976,22541.177464816647
2016,mexico,260789.9878193563,21732.498984946356
2017,mexico,420974.99155768135,35081.24929647345
2018,mexico,308542.1390181493,25711.844918179107
2019,mexico,194182.37841337585,48545.59460334396
2012,canada,4593134.568571938,510348.28539688204
2013,canada,7650716.041858109,637559.6701548424
2014,canada,6378657.551217375,531554.7959347813
2015,canada,7255630.735068588,604635.8945890489
2016,canada,7797801.228763468,649816.7690636223
2017,canada,7143867.834411887,595322.319534324
2018,canada,4508723.867832812,375726.98898606765
2019,canada,2745443.1869127317,686360.7967281829
2012,turkey,3394879.403666455,377208.8226296061
2013,turkey,6975495.104764699,581291.2587303916
2014,turkey,7836968.088083628,653080.674006969
2015,turkey,4519695.089323004,376641.2574435836
2016,turkey,4804020.798226053,400335.06651883776
2017,turkey,8190916.210354009,682576.350862834
2018,turkey,5129862.553843793,427488.54615364945
2019,turkey,1409453.7806593832,352363.4451648458
2012,spain,1048009.2602993536,116445.47336659484
2013,spain,2862370.091139201,238530.84092826676
2014,spain,1421694.9649626531,118474.58041355443
2015,spain,3032966.932053436,252747.24433778634
2016,spain,3325287.1987254336,277107.2665604528
2017,spain,3356473.5602299813,279706.1300191651
2018,spain,3844328.955515962,320360.74629299686
2019,spain,1179860.4992287855,294965.1248071964
2012,indonesia,119007.98776866241,13223.1097520736
2013,indonesia,437207.4391569244,36433.95326307703
2014,indonesia,415727.9262736664,34643.99385613886
2015,indonesia,450317.7856424704,37526.48213687253
2016,indonesia,370684.6957874129,30890.39131561774
2017,indonesia,946228.101395665,78852.34178297209
2018,indonesia,919412.6676989229,76617.72230824358
2019,indonesia,516984.8234627396,129246.2058656849
2012,saudiarab,238420.62786641266,26491.18087404585
2013,saudiarab,670930.0261219064,55910.83551015886
2014,saudiarab,864593.4164353074,72049.45136960894
2015,saudiarab,764754.3978002956,63729.53315002463
2016,saudiarab,687853.7615244107,57321.14679370089
2017,saudiarab,971901.5660802941,80991.79717335785
2018,saudiarab,1359991.8556580348,113332.65463816957
2019,saudiarab,461933.5007580479,115483.37518951198
2012,russia,3387584.3595696483,376398.2621744054
2013,russia,7275026.240071638,606252.1866726364
2014,russia,12139937.39253268,1011661.4493777234
2015,russia,9099034.475181507,758252.8729317923
2016,russia,18321241.06123562,1526770.0884363018
2017,russia,10760740.215212753,896728.3512677294
2018,russia,5141564.6596213,428463.72163510835
