,country,time,"luminosity,pixel"
111,france,201210,"(0, 0)"
112,germany,201210,"(0, 0)"
113,india,201210,"(10086308.788411459, 233192.33932590793)"
114,italy,201210,"(0, 0)"
115,japan,201210,"(3327926.239908479, 61916.73704966939)"
116,korea,201210,"(152361.7101554852, 114054.03186906977)"
117,mexico,201210,"(0, 0)"
118,russia,201210,"(34096356.27405865, 191495.53059665833)"
119,saudiarab,201210,"(0, 0)"
120,uk,201210,"(0, 0)"
121,usa,201210,"(0, 0)"
122,indonesia,201210,"(96830.64993790351, 3176.6269855802548)"
123,iran,201210,"(331043.5900728777, 11288.447735015534)"
124,spain,201210,"(0, 0)"
125,turkey,201210,"(0, 0)"
126,brazil,201211,"(0, 0)"
127,canada,201211,"(0, 0)"
128,china,201211,"(23358795.488482803, 251904.19164456293)"
129,france,201211,"(0, 0)"
130,germany,201211,"(0, 0)"
131,india,201211,"(11462963.276086116, 324465.7655707562)"
132,italy,201211,"(0, 0)"
133,japan,201211,"(3042475.469595574, 128363.31783560538)"
134,korea,201211,"(38961.469887856394, 24602.31217321852)"
135,mexico,201211,"(0, 0)"
136,russia,201211,"(65769306.77880702, 39320.51296493067)"
137,saudiarab,201211,"(0, 0)"
138,uk,201211,"(0, 0)"
139,usa,201211,"(0, 0)"
140,indonesia,201211,"(151082.06982691772, 6938.301906222548)"
141,iran,201211,"(1937156.517988447, 120288.25980695148)"
142,spain,201211,"(0, 0)"
143,turkey,201211,"(0, 0)"
144,brazil,201212,"(0, 0)"
145,canada,201212,"(0, 0)"
146,china,201212,"(18684216.18194227, 149781.85583616048)"
147,france,201212,"(0, 0)"
148,germany,201212,"(0, 0)"
149,india,201212,"(8508473.187541014, 186132.53906999397)"
150,italy,201212,"(0, 0)"
151,japan,201212,"(3755492.4098532144, 268859.11570489977)"
152,korea,201212,"(46922.60987983458, 18351.902091039523)"
153,mexico,201212,"(0, 0)"
154,russia,201212,"(45552492.6972813, 31400.183779838335)"
155,saudiarab,201212,"(0, 0)"
156,uk,201212,"(0, 0)"
157,usa,201212,"(0, 0)"
158,indonesia,201212,"(128414.70002174005, 3805.1482666706875)"
159,iran,201212,"(131507.9398439061, 16004.095826364737)"
160,spain,201212,"(0, 0)"
161,turkey,201212,"(0, 0)"
162,brazil,201301,"(0, 0)"
163,canada,201301,"(0, 0)"
164,china,201301,"(21345179.79475831, 699296.0618978102)"
165,france,201301,"(0, 0)"
166,germany,201301,"(0, 0)"
167,india,201301,"(8471620.826730378, 195070.2164039735)"
168,italy,201301,"(0, 0)"
169,japan,201301,"(4384109.439749939, 185297.50676402255)"
170,korea,201301,"(156066.1800701134, 202474.6512840268)"
171,mexico,201301,"(0, 0)"
172,russia,201301,"(79334444.08518064, 55890.55384306455)"
173,saudiarab,201301,"(0, 0)"
174,uk,201301,"(0, 0)"
175,usa,201301,"(0, 0)"
176,indonesia,201301,"(137692.1100967247, 13046.47709063054)"
177,iran,201301,"(181159.3499943819, 88151.99615368208)"
178,spain,201301,"(0, 0)"
179,turkey,201301,"(0, 0)"
180,brazil,201302,"(0, 0)"
181,canada,201302,"(0, 0)"
182,china,201302,"(22045349.18596677, 597604.591705731)"
183,france,201302,"(0, 0)"
184,germany,201302,"(0, 0)"
185,india,201302,"(10548269.096738644, 150510.71239528)"
186,italy,201302,"(0, 0)"
187,japan,201302,"(4069548.919926649, 30809.24290200995)"
188,korea,201302,"(84912.98989670165, 73684.82749200903)"
189,mexico,201302,"(0, 0)"
190,russia,201302,"(78880355.41704519, 58870.17549416517)"
191,saudiarab,201302,"(0, 0)"
192,uk,201302,"(0, 0)"
193,usa,201302,"(0, 0)"
194,indonesia,201302,"(309882.1499790568, 50663.24709157191)"
195,iran,201302,"(203800.91987442411, 15325.571752848273)"
196,spain,201302,"(0, 0)"
197,turkey,201302,"(0, 0)"
198,brazil,201303,"(0, 0)"
199,canada,201303,"(0, 0)"
200,china,201303,"(24323326.856887173, 715886.5967128637)"
201,france,201303,"(0, 0)"
202,germany,201303,"(0, 0)"
203,india,201303,"(10871150.376799986, 266113.30201666144)"
204,italy,201303,"(0, 0)"
205,japan,201303,"(3434911.509601876, 225745.2854321333)"
206,korea,201303,"(112620.83996754885, 49640.47632769713)"
207,mexico,201303,"(0, 0)"
208,russia,201303,"(36573951.62936677, 92774.29066850783)"
209,saudiarab,201303,"(0, 0)"
210,uk,201303,"(0, 0)"
211,usa,201303,"(0, 0)"
212,indonesia,201303,"(572252.1199936774, 66759.03487477404)"
213,iran,201303,"(269440.65993460454, 18664.659430700616)"
214,spain,201303,"(0, 0)"
215,turkey,201303,"(0, 0)"
216,brazil,201304,"(0, 0)"
217,canada,201304,"(0, 0)"
218,china,201304,"(23406525.458329014, 353372.9337606586)"
219,france,201304,"(0, 0)"
220,germany,201304,"(0, 0)"
221,india,201304,"(11348943.566680145, 224513.4930901739)"
222,italy,201304,"(0, 0)"
223,japan,201304,"(3033457.7599334735, 166309.44062081055)"
224,korea,201304,"(76449.50992017984, 87505.79659974661)"
225,mexico,201304,"(0, 0)"
226,russia,201304,"(613892.8094435856, 15173.190284570359)"
227,saudiarab,201304,"(0, 0)"
228,uk,201304,"(0, 0)"
229,usa,201304,"(0, 0)"
230,indonesia,201304,"(374789.86981087737, 49752.965709110285)"
231,iran,201304,"(243035.1298490353, 10463.624784021165)"
232,spain,201304,"(0, 0)"
233,turkey,201304,"(0, 0)"
234,brazil,201305,"(0, 0)"
235,canada,201305,"(0, 0)"
236,china,201305,"(17557236.169243798, 352910.3968224722)"
237,france,201305,"(0, 0)"
238,germany,201305,"(0, 0)"
239,india,201305,"(10228996.9870819, 276915.5685414221)"
240,italy,201305,"(0, 0)"
241,japan,201305,"(2769834.6900714934, 152199.33581797103)"
242,korea,201305,"(33095.22996516526, 15155.916092164958)"
243,mexico,201305,"(0, 0)"
244,russia,201305,"(0, 0)"
245,saudiarab,201305,"(0, 0)"
246,uk,201305,"(0, 0)"
247,usa,201305,"(0, 0)"
248,indonesia,201305,"(394029.74985521846, 21363.61082199436)"
249,iran,201305,"(252270.8597441893, 7154.397410287956)"
250,spain,201305,"(0, 0)"
251,turkey,201305,"(0, 0)"
252,brazil,201306,"(0, 0)"
253,canada,201306,"(0, 0)"
254,china,201306,"(12955303.191186897, 116946.39800262103)"
255,france,201306,"(0, 0)"
256,germany,201306,"(0, 0)"
257,india,201306,"(6614668.547156071, 143119.57285163054)"
258,italy,201306,"(0, 0)"
259,japan,201306,"(441778.2100084089, 48720.419344486116)"
260,korea,201306,"(0, 0)"
261,mexico,201306,"(0, 0)"
262,russia,201306,"(0, 0)"
263,saudiarab,201306,"(0, 0)"
264,uk,201306,"(0, 0)"
265,usa,201306,"(0, 0)"
266,indonesia,201306,"(563760.5900022853, 37243.13559596998)"
267,iran,201306,"(223082.61011012644, 151478.8167905833)"
268,spain,201306,"(0, 0)"
269,turkey,201306,"(0, 0)"
270,brazil,201307,"(0, 0)"
271,canada,201307,"(0, 0)"
272,china,201307,"(11112553.597301843, 58968.182348729686)"
273,france,201307,"(0, 0)"
274,germany,201307,"(0, 0)"
275,india,201307,"(3856228.8186778687, 100863.32371252528)"
276,italy,201307,"(0, 0)"
277,japan,201307,"(2060086.8203610424, 61805.25599438417)"
278,korea,201307,"(0, 0)"
279,mexico,201307,"(0, 0)"
280,russia,201307,"(0, 0)"
281,saudiarab,201307,"(0, 0)"
282,uk,201307,"(0, 0)"
283,usa,201307,"(0, 0)"
284,indonesia,201307,"(298006.4697658997, 20438.288078835314)"
285,iran,201307,"(158013.7497186251, 11525.437876837206)"
286,spain,201307,"(0, 0)"
287,turkey,201307,"(0, 0)"
288,brazil,201308,"(0, 0)"
289,canada,201308,"(0, 0)"
290,china,201308,"(21656041.076995514, 265621.5492437161)"
291,france,201308,"(0, 0)"
292,germany,201308,"(0, 0)"
293,india,201308,"(5752089.048946559, 132146.09967175248)"
294,italy,201308,"(0, 0)"
295,japan,201308,"(2777929.4897149745, 109672.97863246071)"
296,korea,201308,"(112271.56001026928, 144231.4059672392)"
297,mexico,201308,"(0, 0)"
298,russia,201308,"(132107.7699212134, 47812.88651023376)"
299,saudiarab,201308,"(0, 0)"
300,uk,201308,"(0, 0)"
301,usa,201308,"(0, 0)"
302,indonesia,201308,"(297575.3697222993, 23112.79268821078)"
303,iran,201308,"(214724.8097570259, 7459.4226714379465)"
304,spain,201308,"(0, 0)"
305,turkey,201308,"(0, 0)"
306,brazil,201309,"(0, 0)"
307,canada,201309,"(0, 0)"
308,china,201309,"(22700445.416016642, 450583.05372735846)"
309,france,201309,"(0, 0)"
310,germany,201309,"(0, 0)"
311,india,201309,"(8064754.478618085, 110573.45793935386)"
312,italy,201309,"(0, 0)"
313,japan,201309,"(3019154.9197371677, 164145.39273335223)"
314,korea,201309,"(78430.079900451, 66181.28571337397)"
315,mexico,201309,"(0, 0)"
316,russia,201309,"(4475091.318511276, 45868.50289470868)"
317,saudiarab,201309,"(0, 0)"
318,uk,201309,"(0, 0)"
319,usa,201309,"(0, 0)"
320,indonesia,201309,"(127862.7998594027, 10832.770605318885)"
321,iran,201309,"(265747.8199287094, 7971.3716370453485)"
322,spain,201309,"(0, 0)"
323,turkey,201309,"(0, 0)"
324,brazil,201310,"(0, 0)"
325,canada,201310,"(0, 0)"
