,country,time,"luminosity,pixel"
640,russia,201503,"(10276163.907980893, 31035.603569909406)"
641,saudiarab,201503,"(0, 0)"
642,uk,201503,"(0, 0)"
643,usa,201503,"(0, 0)"
644,indonesia,201503,"(547215.7899975087, 19279.79937823058)"
645,iran,201503,"(359530.8200907055, 10545.830891848553)"
646,spain,201503,"(0, 0)"
647,turkey,201503,"(0, 0)"
648,brazil,201504,"(0, 0)"
649,canada,201504,"(0, 0)"
650,china,201504,"(21644933.43631697, 142517.2656613644)"
651,france,201504,"(0, 0)"
652,germany,201504,"(0, 0)"
653,india,201504,"(12791684.864631223, 164107.8395904508)"
654,italy,201504,"(0, 0)"
655,japan,201504,"(2896237.249368921, 218210.1321578739)"
656,korea,201504,"(34193.789924714714, 11026.303010169906)"
657,mexico,201504,"(0, 0)"
658,russia,201504,"(110723.9400112722, 11734.55812511433)"
659,saudiarab,201504,"(0, 0)"
660,uk,201504,"(0, 0)"
661,usa,201504,"(0, 0)"
662,indonesia,201504,"(392693.47968415543, 23519.273760214543)"
663,iran,201504,"(329752.68032484874, 4981.397311274877)"
664,spain,201504,"(0, 0)"
665,turkey,201504,"(0, 0)"
666,brazil,201505,"(0, 0)"
667,canada,201505,"(0, 0)"
668,china,201505,"(14902832.279521884, 215552.65671181664)"
669,france,201505,"(0, 0)"
670,germany,201505,"(0, 0)"
671,india,201505,"(10734378.166606896, 82171.81161374091)"
672,italy,201505,"(0, 0)"
673,japan,201505,"(2484662.4696239103, 233284.25571666055)"
674,korea,201505,"(0, 0)"
675,mexico,201505,"(0, 0)"
676,russia,201505,"(0, 0)"
677,saudiarab,201505,"(0, 0)"
678,uk,201505,"(0, 0)"
679,usa,201505,"(0, 0)"
680,indonesia,201505,"(383462.45984777436, 17801.162198410406)"
681,iran,201505,"(218929.2195864804, 3749.2567755648006)"
682,spain,201505,"(0, 0)"
683,turkey,201505,"(0, 0)"
684,brazil,201506,"(0, 0)"
685,canada,201506,"(0, 0)"
686,china,201506,"(10135607.14924096, 342246.6440896718)"
687,france,201506,"(0, 0)"
688,germany,201506,"(0, 0)"
689,india,201506,"(8471000.827128367, 82007.407086283)"
690,italy,201506,"(0, 0)"
691,japan,201506,"(103604.97995419614, 84602.89835411053)"
692,korea,201506,"(0, 0)"
693,mexico,201506,"(0, 0)"
694,russia,201506,"(0, 0)"
695,saudiarab,201506,"(0, 0)"
696,uk,201506,"(0, 0)"
697,usa,201506,"(0, 0)"
698,indonesia,201506,"(699967.7297943067, 25341.47421693164)"
699,iran,201506,"(151178.5498199407, 118254.88614763426)"
700,spain,201506,"(0, 0)"
701,turkey,201506,"(0, 0)"
702,brazil,201507,"(0, 0)"
703,canada,201507,"(0, 0)"
704,china,201507,"(13757211.107402602, 397381.1963022685)"
705,france,201507,"(0, 0)"
706,germany,201507,"(0, 0)"
707,india,201507,"(7879161.027603893, 97691.69431410839)"
708,italy,201507,"(0, 0)"
709,japan,201507,"(2782035.9798872545, 112278.75903145998)"
710,korea,201507,"(0, 0)"
711,mexico,201507,"(0, 0)"
712,russia,201507,"(0, 0)"
713,saudiarab,201507,"(0, 0)"
714,uk,201507,"(0, 0)"
715,usa,201507,"(0, 0)"
716,indonesia,201507,"(467699.0097885821, 24510.69143681584)"
717,iran,201507,"(221319.50972777233, 10592.266016951)"
718,spain,201507,"(0, 0)"
719,turkey,201507,"(0, 0)"
720,brazil,201508,"(0, 0)"
721,canada,201508,"(0, 0)"
722,china,201508,"(17988316.36347527, 819454.0445737299)"
723,france,201508,"(0, 0)"
724,germany,201508,"(0, 0)"
725,india,201508,"(8548229.977073513, 169629.6391081622)"
726,italy,201508,"(0, 0)"
727,japan,201508,"(2652193.4296577293, 373373.0697018467)"
728,korea,201508,"(59315.90987748839, 67501.84756308746)"
729,mexico,201508,"(0, 0)"
730,russia,201508,"(61310.219960780814, 40585.73008138627)"
731,saudiarab,201508,"(0, 0)"
732,uk,201508,"(0, 0)"
733,usa,201508,"(0, 0)"
734,indonesia,201508,"(635540.9200200513, 31792.184520572046)"
735,iran,201508,"(175284.39992942102, 3777.512939143833)"
736,spain,201508,"(0, 0)"
737,turkey,201508,"(0, 0)"
738,brazil,201509,"(0, 0)"
739,canada,201509,"(0, 0)"
740,china,201509,"(19799920.54267728, 210922.3865836803)"
741,france,201509,"(0, 0)"
742,germany,201509,"(0, 0)"
743,india,201509,"(9901881.177266033, 100925.17621153024)"
744,italy,201509,"(0, 0)"
745,japan,201509,"(2973068.3192930296, 223763.29613477035)"
746,korea,201509,"(101705.88983260654, 98033.52202593394)"
747,mexico,201509,"(0, 0)"
748,russia,201509,"(2178979.5781606343, 10090.723013767121)"
749,saudiarab,201509,"(0, 0)"
750,uk,201509,"(0, 0)"
751,usa,201509,"(0, 0)"
752,indonesia,201509,"(435475.54976889864, 39401.06292733744)"
753,iran,201509,"(246102.39985639974, 4926.567759536591)"
754,spain,201509,"(0, 0)"
755,turkey,201509,"(0, 0)"
756,brazil,201510,"(0, 0)"
757,canada,201510,"(0, 0)"
758,china,201510,"(21282039.904789, 370104.0498836907)"
759,france,201510,"(0, 0)"
760,germany,201510,"(0, 0)"
761,india,201510,"(11519970.51634585, 184495.70747437034)"
762,italy,201510,"(0, 0)"
763,japan,201510,"(3093001.659895025, 187310.48296302924)"
764,korea,201510,"(41813.93986101821, 33282.09931092143)"
765,mexico,201510,"(0, 0)"
766,russia,201510,"(18588412.049034182, 38869.02197501625)"
767,saudiarab,201510,"(0, 0)"
768,uk,201510,"(0, 0)"
769,usa,201510,"(0, 0)"
770,indonesia,201510,"(443205.359832108, 56471.84194543971)"
771,iran,201510,"(248834.12980965525, 5121.2982237696515)"
772,spain,201510,"(0, 0)"
773,turkey,201510,"(0, 0)"
774,brazil,201511,"(0, 0)"
775,canada,201511,"(0, 0)"
776,china,201511,"(24958160.245024957, 273433.21694109123)"
777,france,201511,"(0, 0)"
778,germany,201511,"(0, 0)"
779,india,201511,"(13824284.666004073, 227268.08875834127)"
780,italy,201511,"(0, 0)"
781,japan,201511,"(3009562.459467411, 117292.67492656797)"
782,korea,201511,"(123182.50002798997, 193915.4775862627)"
783,mexico,201511,"(0, 0)"
784,russia,201511,"(123428508.77638787, 338236.1990834954)"
785,saudiarab,201511,"(0, 0)"
786,uk,201511,"(0, 0)"
787,usa,201511,"(0, 0)"
788,indonesia,201511,"(283163.0698349979, 8102.205107783677)"
789,iran,201511,"(268833.6598026566, 10474.362892510955)"
790,spain,201511,"(0, 0)"
791,turkey,201511,"(0, 0)"
792,brazil,201512,"(0, 0)"
793,canada,201512,"(0, 0)"
794,china,201512,"(30086867.984082893, 215248.34056274584)"
795,france,201512,"(0, 0)"
796,germany,201512,"(0, 0)"
797,india,201512,"(12574760.72695644, 533226.9565427615)"
798,italy,201512,"(0, 0)"
799,japan,201512,"(3556739.920124134, 196367.20687179986)"
800,korea,201512,"(194346.98987345397, 161230.7080374244)"
801,mexico,201512,"(0, 0)"
802,russia,201512,"(109856005.50402822, 311649.7776195763)"
803,saudiarab,201512,"(0, 0)"
804,uk,201512,"(0, 0)"
805,usa,201512,"(0, 0)"
806,indonesia,201512,"(340602.2097830344, 14471.424481212713)"
807,iran,201512,"(295806.58999171853, 5322.100731879576)"
808,spain,201512,"(0, 0)"
809,turkey,201512,"(0, 0)"
810,brazil,201601,"(0, 0)"
811,canada,201601,"(0, 0)"
812,china,201601,"(20730036.235225495, 521248.08025864797)"
813,france,201601,"(0, 0)"
814,germany,201601,"(0, 0)"
815,india,201601,"(10049872.266430734, 164611.50721682384)"
816,italy,201601,"(0, 0)"
817,japan,201601,"(3996621.609509265, 144318.75349185144)"
818,korea,201601,"(117134.86997860298, 153579.5405996996)"
819,mexico,201601,"(0, 0)"
820,russia,201601,"(80379249.329422, 173056.1973528554)"
821,saudiarab,201601,"(0, 0)"
822,uk,201601,"(0, 0)"
823,usa,201601,"(0, 0)"
824,indonesia,201601,"(235686.53999256156, 15318.372921878748)"
825,iran,201601,"(172596.990061922, 3815.9043314082983)"
826,spain,201601,"(0, 0)"
827,turkey,201601,"(0, 0)"
828,brazil,201602,"(0, 0)"
829,canada,201602,"(0, 0)"
830,china,201602,"(23098042.63436069, 435795.1733385285)"
831,france,201602,"(0, 0)"
832,germany,201602,"(0, 0)"
833,india,201602,"(10343046.926182797, 159653.64185189854)"
834,italy,201602,"(0, 0)"
835,japan,201602,"(3800819.6693522763, 86745.271569678)"
836,korea,201602,"(44275.279829684645, 16854.034013702418)"
837,mexico,201602,"(0, 0)"
838,russia,201602,"(79281570.36406179, 107736.57920920287)"
839,saudiarab,201602,"(0, 0)"
840,uk,201602,"(0, 0)"
841,usa,201602,"(0, 0)"
842,indonesia,201602,"(207093.71994080022, 4622.398327644303)"
843,iran,201602,"(183269.449576037, 3313.362694925984)"
844,spain,201602,"(0, 0)"
845,turkey,201602,"(0, 0)"
846,brazil,201603,"(0, 0)"
847,canada,201603,"(0, 0)"
848,china,201603,"(19284122.813509174, 466263.0582067942)"
849,france,201603,"(0, 0)"
850,germany,201603,"(0, 0)"
851,india,201603,"(11600842.95635973, 298598.66327044734)"
852,italy,201603,"(0, 0)"
853,japan,201603,"(3274957.6294699013, 179099.2453616265)"
854,korea,201603,"(51999.439852345735, 93947.94410797302)"
855,mexico,201603,"(0, 0)"
856,russia,201603,"(23932129.60017018, 60089.70957013933)"
857,saudiarab,201603,"(0, 0)"
858,uk,201603,"(0, 0)"
859,usa,201603,"(0, 0)"
860,indonesia,201603,"(353790.5697761085, 17903.661197272286)"
861,iran,201603,"(189914.1192919705, 2820.9723590351327)"
862,spain,201603,"(0, 0)"
863,turkey,201603,"(0, 0)"
864,brazil,201604,"(0, 0)"
865,canada,201604,"(0, 0)"
866,china,201604,"(17420785.74316538, 467638.24003519735)"
867,france,201604,"(0, 0)"
868,germany,201604,"(0, 0)"
869,india,201604,"(11675133.765189713, 134455.00757286904)"
870,italy,201604,"(0, 0)"
871,japan,201604,"(2758247.139934983, 42298.32901956723)"
872,korea,201604,"(20588.85998277366, 20359.412926611585)"
873,mexico,201604,"(0, 0)"
874,russia,201604,"(466767.03989361227, 9065.086364905692)"
875,saudiarab,201604,"(0, 0)"
876,uk,201604,"(0, 0)"
877,usa,201604,"(0, 0)"
878,indonesia,201604,"(732311.5001872033, 43953.75925829008)"
879,iran,201604,"(191844.41975184157, 6544.187724192439)"
880,spain,201604,"(0, 0)"
881,turkey,201604,"(0, 0)"
882,brazil,201605,"(0, 0)"
883,canada,201605,"(0, 0)"
884,china,201605,"(18931156.72868173, 608374.1937373576)"
885,france,201605,"(0, 0)"
886,germany,201605,"(0, 0)"
887,india,201605,"(11746826.175554544, 531622.2130263858)"
888,italy,201605,"(0, 0)"
889,japan,201605,"(2603835.259750547, 108518.25403684472)"
890,korea,201605,"(32120.150002706796, 34061.091657482226)"
891,mexico,201605,"(0, 0)"
892,russia,201605,"(0, 0)"
893,saudiarab,201605,"(0, 0)"
894,uk,201605,"(0, 0)"
895,usa,201605,"(0, 0)"
896,indonesia,201605,"(449124.1199942287, 17586.65622890283)"
897,iran,201605,"(256711.79985853657, 8281.831261544437)"
898,spain,201605,"(0, 0)"
899,turkey,201605,"(0, 0)"
900,brazil,201606,"(0, 0)"
901,canada,201606,"(0, 0)"
902,china,201606,"(11016210.348111074, 445199.3335526314)"
903,france,201606,"(0, 0)"
904,germany,201606,"(0, 0)"
905,india,201606,"(9750176.466816967, 228558.87110721346)"
906,italy,201606,"(0, 0)"
907,japan,201606,"(455503.099893352, 20983.40585297486)"
908,korea,201606,"(0, 0)"
909,mexico,201606,"(0, 0)"
910,russia,201606,"(0, 0)"
911,saudiarab,201606,"(0, 0)"
912,uk,201606,"(0, 0)"
913,usa,201606,"(0, 0)"
914,indonesia,201606,"(444052.0697875712, 24677.39320698363)"
915,iran,201606,"(148902.68975457177, 97433.2111908469)"
916,spain,201606,"(0, 0)"
917,turkey,201606,"(0, 0)"
918,brazil,201607,"(0, 0)"
919,canada,201607,"(0, 0)"
920,china,201607,"(14173436.164425228, 121667.85920398355)"
921,france,201607,"(0, 0)"
922,germany,201607,"(0, 0)"
923,india,201607,"(6681863.107463136, 187375.30378126452)"
924,italy,201607,"(0, 0)"
925,japan,201607,"(2408588.710187748, 87386.81320209007)"
926,korea,201607,"(10623.299990020692, 113435.23534801695)"
927,mexico,201607,"(0, 0)"
928,russia,201607,"(0, 0)"
929,saudiarab,201607,"(0, 0)"
930,uk,201607,"(0, 0)"
931,usa,201607,"(0, 0)"
932,indonesia,201607,"(417601.8398403749, 23911.109180550287)"
933,iran,201607,"(176870.38976575248, 9195.502756822389)"
934,spain,201607,"(0, 0)"
935,turkey,201607,"(0, 0)"
936,brazil,201608,"(0, 0)"
937,canada,201608,"(0, 0)"
938,china,201608,"(18556991.674199086, 209387.95940870472)"
939,france,201608,"(0, 0)"
940,germany,201608,"(0, 0)"
941,india,201608,"(8216596.507729316, 271684.33364148263)"
942,italy,201608,"(0, 0)"
943,japan,201608,"(2722782.869695535, 90455.5187594693)"
944,korea,201608,"(54832.40992238559, 52229.23884173073)"
945,mexico,201608,"(0, 0)"
946,russia,201608,"(153298.38987953588, 41877.54213376508)"
947,saudiarab,201608,"(0, 0)"
948,uk,201608,"(0, 0)"
949,usa,201608,"(0, 0)"
950,indonesia,201608,"(421212.209882861, 19734.48381769855)"
951,iran,201608,"(181437.05967897922, 9479.313245351274)"
952,spain,201608,"(0, 0)"
953,turkey,201608,"(0, 0)"
954,brazil,201609,"(0, 0)"
955,canada,201609,"(0, 0)"
956,china,201609,"(21903428.76669847, 172920.72682400537)"
957,france,201609,"(0, 0)"
958,germany,201609,"(0, 0)"
959,india,201609,"(10222274.176147958, 302914.96184773324)"
960,italy,201609,"(0, 0)"
961,japan,201609,"(2723994.619796183, 111607.17685092807)"
962,korea,201609,"(40463.54985344969, 86442.9861156521)"
963,mexico,201609,"(0, 0)"
964,russia,201609,"(6040260.269965315, 23717.7523470169)"
965,saudiarab,201609,"(0, 0)"
966,uk,201609,"(0, 0)"
967,usa,201609,"(0, 0)"
968,indonesia,201609,"(245331.20996465907, 17359.315607995897)"
969,iran,201609,"(264105.26996010356, 14878.637407327791)"
970,spain,201609,"(0, 0)"
971,turkey,201609,"(0, 0)"
972,brazil,201610,"(0, 0)"
973,canada,201610,"(0, 0)"
974,china,201610,"(26911574.14038479, 361993.5193747704)"
975,france,201610,"(0, 0)"
976,germany,201610,"(0, 0)"
977,india,201610,"(13564059.115618518, 570127.589951026)"
978,italy,201610,"(0, 0)"
979,japan,201610,"(3065451.4298265222, 312704.9202234259)"
980,korea,201610,"(140912.8101218231, 164215.81228485046)"
981,mexico,201610,"(0, 0)"
982,russia,201610,"(99270294.61163664, 167284.01492172113)"
983,saudiarab,201610,"(0, 0)"
984,uk,201610,"(0, 0)"
985,usa,201610,"(0, 0)"
986,indonesia,201610,"(255016.5898582358, 16393.756187154264)"
987,iran,201610,"(341847.4500138778, 7897.697757130413)"
988,spain,201610,"(0, 0)"
989,turkey,201610,"(0, 0)"
990,brazil,201611,"(0, 0)"
991,canada,201611,"(0, 0)"
992,china,201611,"(23800679.22630796, 355221.40315443295)"
993,france,201611,"(0, 0)"
994,germany,201611,"(0, 0)"
995,india,201611,"(11699395.987092402, 95773.32821091473)"
996,italy,201611,"(0, 0)"
997,japan,201611,"(3043826.7594929375, 155540.3948563519)"
998,korea,201611,"(37257.129886716604, 50412.35209683844)"
999,mexico,201611,"(0, 0)"
1000,russia,201611,"(101075167.77641937, 135202.65514448384)"
1001,saudiarab,201611,"(0, 0)"
1002,uk,201611,"(0, 0)"
1003,usa,201611,"(0, 0)"
1004,indonesia,201611,"(54131.68993955292, 29112.997131284596)"
1005,iran,201611,"(192594.67982727848, 6048.586654595303)"
1006,spain,201611,"(0, 0)"
1007,turkey,201611,"(0, 0)"
1008,brazil,201612,"(0, 0)"
1009,canada,201612,"(0, 0)"
1010,china,201612,"(27796779.76870937, 421661.26699852414)"
1011,france,201612,"(0, 0)"
1012,germany,201612,"(0, 0)"
1013,india,201612,"(10820791.066300932, 19907.192659667475)"
1014,italy,201612,"(0, 0)"
1015,japan,201612,"(3791270.7597739864, 213359.95079455816)"
1016,korea,201612,"(139860.67007795908, 132819.15437543744)"
1017,mexico,201612,"(0, 0)"
1018,russia,201612,"(89816630.88271919, 194231.0472881074)"
1019,saudiarab,201612,"(0, 0)"
1020,uk,201612,"(0, 0)"
1021,usa,201612,"(0, 0)"
1022,indonesia,201612,"(294188.2298302334, 34132.965271234694)"
1023,iran,201612,"(243415.59001906216, 7620.231144448156)"
1024,spain,201612,"(0, 0)"
1025,turkey,201612,"(0, 0)"
1026,brazil,201701,"(0, 0)"
1027,canada,201701,"(0, 0)"
1028,china,201701,"(33799456.42328331, 346771.18862393056)"
1029,france,201701,"(0, 0)"
1030,germany,201701,"(0, 0)"
1031,india,201701,"(12800751.556470452, 52531.91247690331)"
1032,italy,201701,"(0, 0)"
1033,japan,201701,"(4420509.790183958, 223758.54288371763)"
1034,korea,201701,"(220439.34983023256, 178161.3801541912)"
1035,mexico,201701,"(0, 0)"
1036,russia,201701,"(114815103.60207012, 180053.2642795709)"
1037,saudiarab,201701,"(0, 0)"
1038,uk,201701,"(0, 0)"
1039,usa,201701,"(0, 0)"
1040,indonesia,201701,"(236193.53017544, 12497.221528674982)"
1041,iran,201701,"(321649.6399992779, 20931.214541649486)"
1042,spain,201701,"(0, 0)"
1043,turkey,201701,"(0, 0)"
1044,brazil,201702,"(0, 0)"
1045,canada,201702,"(0, 0)"
1046,china,201702,"(32589683.31773947, 457564.2120648644)"
1047,france,201702,"(0, 0)"
1048,germany,201702,"(0, 0)"
1049,india,201702,"(15051068.214864137, 176235.7883772536)"
1050,italy,201702,"(0, 0)"
1051,japan,201702,"(4366128.529650923, 213474.4460297801)"
1052,korea,201702,"(176128.49011260457, 149724.66314592335)"
1053,mexico,201702,"(0, 0)"
1054,russia,201702,"(154312737.7928021, 193655.13246455137)"
1055,saudiarab,201702,"(0, 0)"
1056,uk,201702,"(0, 0)"
1057,usa,201702,"(0, 0)"
1058,indonesia,201702,"(593609.3603720777, 10129.934829517444)"
1059,iran,201702,"(390298.3702413719, 9095.037236336662)"
1060,spain,201702,"(0, 0)"
1061,turkey,201702,"(0, 0)"
1062,brazil,201703,"(0, 0)"
1063,canada,201703,"(0, 0)"
1064,china,201703,"(31005264.87371686, 652818.7926246261)"
1065,france,201703,"(0, 0)"
1066,germany,201703,"(0, 0)"
1067,india,201703,"(14562842.074447472, 402286.67217800545)"
1068,italy,201703,"(0, 0)"
1069,japan,201703,"(3703791.6398105323, 165495.61187328966)"
1070,korea,201703,"(175143.939958103, 212030.51543487463)"
1071,mexico,201703,"(0, 0)"
1072,russia,201703,"(41316599.44606199, 93275.45525328215)"
1073,saudiarab,201703,"(0, 0)"
1074,uk,201703,"(0, 0)"
1075,usa,201703,"(0, 0)"
1076,indonesia,201703,"(1081975.2483760323, 79844.0272999771)"
1077,iran,201703,"(414296.830154242, 13268.14648285042)"
1078,spain,201703,"(0, 0)"
1079,turkey,201703,"(0, 0)"
1080,brazil,201704,"(0, 0)"
1081,canada,201704,"(0, 0)"
1082,china,201704,"(32276134.29699224, 720944.9837667525)"
1083,france,201704,"(0, 0)"
1084,germany,201704,"(0, 0)"
1085,india,201704,"(15960883.6694633, 484352.7351391423)"
1086,italy,201704,"(0, 0)"
1087,japan,201704,"(3332265.2600130904, 151614.2762998475)"
1088,korea,201704,"(147232.23023455404, 206630.22122696106)"
1089,mexico,201704,"(0, 0)"
1090,russia,201704,"(1653833.6311558243, 19020.963955111878)"
1091,saudiarab,201704,"(0, 0)"
1092,uk,201704,"(0, 0)"
1093,usa,201704,"(0, 0)"
1094,indonesia,201704,"(969564.8889542781, 63659.524305528656)"
1095,iran,201704,"(428635.0104375817, 16370.330775207542)"
1096,spain,201704,"(0, 0)"
1097,turkey,201704,"(0, 0)"
1098,brazil,201705,"(0, 0)"
1099,canada,201705,"(0, 0)"
1100,china,201705,"(27198403.66541031, 463091.6981782277)"
1101,france,201705,"(0, 0)"
1102,germany,201705,"(0, 0)"
1103,india,201705,"(14548755.43831328, 352225.4372167162)"
1104,italy,201705,"(0, 0)"
1105,japan,201705,"(3552621.0191389546, 123715.5982874412)"
1106,korea,201705,"(109034.63999077491, 10814.203695541539)"
1107,mexico,201705,"(0, 0)"
1108,russia,201705,"(0, 0)"
1109,saudiarab,201705,"(0, 0)"
1110,uk,201705,"(0, 0)"
1111,usa,201705,"(0, 0)"
1112,indonesia,201705,"(1018858.8595552463, 52710.84851166494)"
1113,iran,201705,"(437430.1105850078, 27534.142397493237)"
1114,spain,201705,"(0, 0)"
1115,turkey,201705,"(0, 0)"
1116,brazil,201706,"(0, 0)"
1117,canada,201706,"(0, 0)"
1118,china,201706,"(14877016.219527273, 1045060.4274150839)"
1119,france,201706,"(0, 0)"
1120,germany,201706,"(0, 0)"
1121,india,201706,"(12635276.791300341, 40115.83137330688)"
1122,italy,201706,"(0, 0)"
1123,japan,201706,"(294357.50990681164, 50091.90338500464)"
1124,korea,201706,"(0, 0)"
1125,mexico,201706,"(0, 0)"
1126,russia,201706,"(0, 0)"
1127,saudiarab,201706,"(0, 0)"
1128,uk,201706,"(0, 0)"
1129,usa,201706,"(0, 0)"
1130,indonesia,201706,"(708017.9300032351, 45362.22523956621)"
1131,iran,201706,"(341823.58966139145, 228802.438591499)"
1132,spain,201706,"(0, 0)"
1133,turkey,201706,"(0, 0)"
1134,brazil,201707,"(0, 0)"
1135,canada,201707,"(0, 0)"
1136,china,201707,"(22948664.61039002, 1247565.1940838087)"
1137,france,201707,"(0, 0)"
1138,germany,201707,"(0, 0)"
1139,india,201707,"(9618003.15607428, 351180.6884094346)"
1140,italy,201707,"(0, 0)"
1141,japan,201707,"(2699750.8597890306, 245825.63784097033)"
1142,korea,201707,"(570.4699994772673, 12881.580809484252)"
1143,mexico,201707,"(0, 0)"
1144,russia,201707,"(0, 0)"
1145,saudiarab,201707,"(0, 0)"
1146,uk,201707,"(0, 0)"
1147,usa,201707,"(0, 0)"
1148,indonesia,201707,"(565652.519959867, 33828.96401284709)"
1149,iran,201707,"(430764.90040959045, 19012.98853818157)"
1150,spain,201707,"(0, 0)"
1151,turkey,201707,"(0, 0)"
1152,brazil,201708,"(0, 0)"
1153,canada,201708,"(0, 0)"
1154,china,201708,"(34040502.821216494, 1106682.6315209775)"
1155,france,201708,"(0, 0)"
1156,germany,201708,"(0, 0)"
1157,india,201708,"(12196417.01173845, 45724.17803587191)"
1158,italy,201708,"(0, 0)"
1159,japan,201708,"(3382464.2297982555, 204708.3513237088)"
1160,korea,201708,"(259530.1707860008, 145725.50092917267)"
1161,mexico,201708,"(0, 0)"
1162,russia,201708,"(563312.1099981591, 42097.558176928316)"
1163,saudiarab,201708,"(0, 0)"
1164,uk,201708,"(0, 0)"
1165,usa,201708,"(0, 0)"
1166,indonesia,201708,"(623259.1098203715, 8062.678681979511)"
1167,iran,201708,"(466390.6613749061, 32817.2658267258)"
1168,spain,201708,"(0, 0)"
1169,turkey,201708,"(0, 0)"
1170,brazil,201709,"(0, 0)"
1171,canada,201709,"(0, 0)"
1172,china,201709,"(34364697.12268478, 1223074.2364886007)"
1173,france,201709,"(0, 0)"
1174,germany,201709,"(0, 0)"
1175,india,201709,"(14295618.119015258, 162652.63867637474)"
1176,italy,201709,"(0, 0)"
1177,japan,201709,"(3300500.370082032, 123190.93935134298)"
1178,korea,201709,"(300673.84997300245, 171611.27939489085)"
1179,mexico,201709,"(0, 0)"
1180,russia,201709,"(9983496.892626133, 57663.63035365533)"
1181,saudiarab,201709,"(0, 0)"
1182,uk,201709,"(0, 0)"
1183,usa,201709,"(0, 0)"
1184,indonesia,201709,"(663153.0698813498, 23009.662678900284)"
1185,iran,201709,"(545879.7201084048, 18346.744895450352)"
1186,spain,201709,"(0, 0)"
1187,turkey,201709,"(0, 0)"
1188,brazil,201710,"(0, 0)"
1189,canada,201710,"(0, 0)"
1190,china,201710,"(41274308.1229973, 1262297.064625949)"
1191,france,201710,"(0, 0)"
1192,germany,201710,"(0, 0)"
1193,india,201710,"(17231319.40028585, 822603.2659736158)"
1194,italy,201710,"(0, 0)"
1195,japan,201710,"(3726088.8888605554, 58120.38974239856)"
1196,korea,201710,"(301088.4206222147, 301471.2500187756)"
1197,mexico,201710,"(0, 0)"
1198,russia,201710,"(62042991.45177785, 149432.4304566268)"
1199,saudiarab,201710,"(0, 0)"
1200,uk,201710,"(0, 0)"
1201,usa,201710,"(0, 0)"
1202,indonesia,201710,"(694608.2101178076, 71889.07764399615)"
1203,iran,201710,"(602724.9580315053, 23042.041299267472)"
1204,spain,201710,"(0, 0)"
1205,turkey,201710,"(0, 0)"
1206,brazil,201711,"(0, 0)"
1207,canada,201711,"(0, 0)"
1208,china,201711,"(37349867.44392204, 758441.3937879641)"
1209,france,201711,"(0, 0)"
1210,germany,201711,"(0, 0)"
1211,india,201711,"(15415508.183439016, 339617.4931551069)"
1212,italy,201711,"(0, 0)"
1213,japan,201711,"(3946894.309977699, 156068.35319984786)"
1214,korea,201711,"(203638.7596508637, 321696.1262395879)"
1215,mexico,201711,"(0, 0)"
1216,russia,201711,"(110827055.10916354, 237554.42250723092)"
1217,saudiarab,201711,"(0, 0)"
1218,uk,201711,"(0, 0)"
1219,usa,201711,"(0, 0)"
1220,indonesia,201711,"(772628.4489505999, 11621.164174701966)"
1221,iran,201711,"(504639.37052313983, 11894.25808885725)"
1222,spain,201711,"(0, 0)"
1223,turkey,201711,"(0, 0)"
1224,brazil,201712,"(0, 0)"
1225,canada,201712,"(0, 0)"
1226,china,201712,"(31464313.04596452, 995621.1048080527)"
1227,france,201712,"(0, 0)"
1228,germany,201712,"(0, 0)"
1229,india,201712,"(13570583.915616116, 648679.6456384182)"
1230,italy,201712,"(0, 0)"
1231,japan,201712,"(4454102.789700054, 264388.2623124405)"
1232,korea,201712,"(173883.63018260524, 183341.73559094607)"
1233,mexico,201712,"(0, 0)"
1234,russia,201712,"(89004329.40671761, 166377.25080954758)"
1235,saudiarab,201712,"(0, 0)"
1236,uk,201712,"(0, 0)"
1237,usa,201712,"(0, 0)"
1238,indonesia,201712,"(638305.0700055286, 42138.528898559096)"
1239,iran,201712,"(402668.86033272557, 10748.70961366998)"
1240,spain,201712,"(0, 0)"
1241,turkey,201712,"(0, 0)"
1242,brazil,201801,"(0, 0)"
1243,canada,201801,"(0, 0)"
1244,china,201801,"(34043218.49915246, 841437.3623259107)"
1245,france,201801,"(0, 0)"
1246,germany,201801,"(0, 0)"
1247,india,201801,"(13389804.385307422, 441780.45920908655)"
1248,italy,201801,"(0, 0)"
1249,japan,201801,"(4808604.559634957, 167166.2889470153)"
1250,korea,201801,"(230821.55983560532, 6075.85018513432)"
1251,mexico,201801,"(0, 0)"
1252,russia,201801,"(72741543.85670573, 92861.52327884568)"
1253,saudiarab,201801,"(0, 0)"
1254,uk,201801,"(0, 0)"
1255,usa,201801,"(0, 0)"
1256,indonesia,201801,"(361699.5500097424, 69704.41832734807)"
1257,iran,201801,"(327582.68990583904, 23685.84031166388)"
1258,spain,201801,"(0, 0)"
1259,turkey,201801,"(0, 0)"
1260,brazil,201802,"(0, 0)"
1261,canada,201802,"(0, 0)"
1262,china,201802,"(36855439.68414233, 692575.1044351752)"
1263,france,201802,"(0, 0)"
1264,germany,201802,"(0, 0)"
1265,india,201802,"(15646333.503073622, 899124.296963459)"
1266,italy,201802,"(0, 0)"
1267,japan,201802,"(4933163.269832706, 297964.8665064254)"
1268,korea,201802,"(200279.999628637, 95277.81223612653)"
1269,mexico,201802,"(0, 0)"
1270,russia,201802,"(80646721.13580905, 91688.1571759517)"
