year,country,pixels,luminosity,lum/pix
1995,China,31160216,13661477,0.43842690307409937
1996,China,31160216,13099616,0.4203955453967328
1997,China,31160216,26193717,0.84061410228992
1998,China,31160216,28875233,0.9266698600548854
1999,China,31160216,27938493,0.8966078091371382
2000,China,31160216,30806441,0.9886465806270406
2001,China,31160216,31976358,1.0261917953328694
2002,China,31160216,35362179,1.1348502526426647
2003,China,31160216,32160536,1.0321024732306092
2004,China,31160216,38301513,1.2291799581877096
2005,China,31160216,36778368,1.1802988785443593
2006,China,31160216,40776104,1.3085950366967931
2007,China,31160216,44877737,1.4402254785396866
2008,China,31160216,25220002,0.8093654421394255
2009,China,31160216,23721125,0.7612631760960835
2010,China,31160216,36545168,1.172814976635592
2011,China,31160216,32718703,1.050015282307414
2012,China,31160216,34066712,1.0932758617591098
2013,China,31160216,37020963,1.1880842867071268
1992,Congo,5068440,66893,0.013197946508195816
1993,Congo,5068440,74542,0.014707089360828972
1994,Congo,5068440,140790,0.027777777777777776
1995,Congo,5068440,83058,0.016387290764022067
1996,Congo,5068440,85232,0.016816219586302687
1997,Congo,5068440,138442,0.027314518865765403
1998,Congo,5068440,149828,0.029560969450166126
1999,Congo,5068440,143979,0.028406965456826954
2000,Congo,5068440,155189,0.030618691352763374
2001,Congo,5068440,165455,0.03264416664693673
2002,Congo,5068440,168902,0.03332425756248471
2003,Congo,5068440,135173,0.026669547237414274
2004,Congo,5068440,160725,0.03171094064445865
2005,Congo,5068440,153045,0.030195681511470986
2006,Congo,5068440,162150,0.03199209224139972
2007,Congo,5068440,163681,0.03229415757116588
2008,Congo,5068440,97371,0.01921123659350806
2009,Congo,5068440,92860,0.01832121915224408
2010,Congo,5068440,144530,0.028515677407644168
2011,Congo,5068440,127780,0.02521091302254737
2012,Congo,5068440,145557,0.02871830385680801
2013,Congo,5068440,140296,0.027680311890838208
1992,Cote d'Ivoire,539418,55869,0.10357273950813654
1993,Cote d'Ivoire,539418,77593,0.14384577451994557
1994,Cote d'Ivoire,539418,124508,0.23081914211242488
1995,Cote d'Ivoire,539418,108436,0.20102406667927283
1996,Cote d'Ivoire,539418,122422,0.22695201124174574
1997,Cote d'Ivoire,539418,270103,0.5007304168566863
1998,Cote d'Ivoire,539418,347494,0.6442017136988384
1999,Cote d'Ivoire,539418,343225,0.6362876285181436
2000,Cote d'Ivoire,539418,365598,0.6777638121086059
2001,Cote d'Ivoire,539418,382091,0.708339358345476
2002,Cote d'Ivoire,539418,403210,0.7474908141737947
2003,Cote d'Ivoire,539418,308361,0.5716550059508582
2004,Cote d'Ivoire,539418,350521,0.6498133173160703
2005,Cote d'Ivoire,539418,311698,0.5778413030340107
2006,Cote d'Ivoire,539418,357365,0.6625010659636867
2007,Cote d'Ivoire,539418,357522,0.6627921203964272
2008,Cote d'Ivoire,539418,207314,0.38432903610928815
2009,Cote d'Ivoire,539418,207897,0.38540983059519707
2010,Cote d'Ivoire,539418,326640,0.6055415280913874
2011,Cote d'Ivoire,539418,223896,0.4150695749863742
2012,Cote d'Ivoire,539418,256343,0.4752214423693685
2013,Cote d'Ivoire,539418,261237,0.4842941837313549
1992,Dominican Republic,119900,106550,0.8886572143452878
1993,Dominican Republic,119900,132104,1.1017848206839032
1994,Dominican Republic,119900,279979,2.3351042535446207
1995,Dominican Republic,119900,174646,1.4565971643035862
1996,Dominican Republic,119900,187795,1.5662635529608007
1997,Dominican Republic,119900,355333,2.963577981651376
1998,Dominican Republic,119900,359216,2.9959633027522936
1999,Dominican Republic,119900,438892,3.660483736447039
2000,Dominican Republic,119900,479527,3.999391159299416
2001,Dominican Republic,119900,479035,3.9952877397831528
2002,Dominican Republic,119900,502519,4.19115095913261
2003,Dominican Republic,119900,422401,3.5229441201000835
2004,Dominican Republic,119900,410275,3.4218098415346123
2005,Dominican Republic,119900,365450,3.0479566305254377
2006,Dominican Republic,119900,382343,3.1888490408673893
2007,Dominican Republic,119900,386821,3.2261968306922437
2008,Dominican Republic,119900,223990,1.86814011676397
2009,Dominican Republic,119900,187579,1.564462051709758
2010,Dominican Republic,119900,307044,2.560834028356964
2011,Dominican Republic,119900,278091,2.3193577981651377
2012,Dominican Republic,119900,284060,2.369140950792327
2013,Dominican Republic,119900,287407,2.3970558798999164
1992,Egypt,1681611,1454554,0.8649765016998581
1993,Egypt,1681611,1520371,0.9041157556652519
1994,Egypt,1681611,3276663,1.9485261454640819
1995,Egypt,1681611,1873892,1.114343329105245
1996,Egypt,1681611,1986563,1.1813451505728734
1997,Egypt,1681611,3760544,2.2362746199923764
1998,Egypt,1681611,3991960,2.3738902754560955
1999,Egypt,1681611,4249657,2.527134396718385
2000,Egypt,1681611,4443708,2.6425302879203336
2001,Egypt,1681611,4640729,2.75969234264048
2002,Egypt,1681611,4901119,2.9145379044261723
2003,Egypt,1681611,4478681,2.663327606681926
2004,Egypt,1681611,4866302,2.893833353849374
2005,Egypt,1681611,4724451,2.809479124482416
2006,Egypt,1681611,5107866,3.0374836986675278
2007,Egypt,1681611,5397010,3.2094283398479195
2008,Egypt,1681611,2962718,1.761833146904962
2009,Egypt,1681611,2906426,1.728358104222677
2010,Egypt,1681611,3706650,2.204225590817377
2011,Egypt,1681611,3387884,2.0146656985474047
2012,Egypt,1681611,3528854,2.098496025537416
2013,Egypt,1681611,3298339,1.961416165807669
1992,Estonia,148032,153903,1.0396603437094682
1993,Estonia,148032,237499,1.6043760808473844
1994,Estonia,148032,420428,2.8401156506701253
1995,Estonia,148032,248329,1.6775359381755297
1996,Estonia,148032,229199,1.5483071227842629
1997,Estonia,148032,653805,4.41664640077821
1998,Estonia,148032,601136,4.060851707738867
1999,Estonia,148032,589498,3.982233571119758
2000,Estonia,148032,558201,3.7708130674448768
2001,Estonia,148032,593206,4.007282209252054
2002,Estonia,148032,359265,2.4269414721141374
2003,Estonia,148032,434467,2.934953253350627
2004,Estonia,148032,496803,3.3560513942931256
2005,Estonia,148032,545365,3.684102086035452
2006,Estonia,148032,568131,3.837893158236057
2007,Estonia,148032,580133,3.9189702226545613
2008,Estonia,148032,326125,2.2030709576307825
2009,Estonia,148032,330448,2.232274102896671
2010,Estonia,148032,756955,5.1134551988759185
2011,Estonia,148032,399078,2.6958900778210118
2012,Estonia,148032,541635,3.658904831387808
2013,Estonia,148032,438862,2.9646427799394726
1992,Ethiopia,2466685,24521,0.009940872061086032
1993,Ethiopia,2466685,30057,0.012185179704745438
1994,Ethiopia,2466685,52145,0.021139707745415407
