201204,16196254.047152743
201205,12498879.854321223
201206,6589041.517334154
201207,6408288.789278265
201208,8611501.459202
201209,13873343.097681338
201210,15613362.574403916
201211,14586674.863104474
201212,10406663.83587959
201301,10584970.814269222
201302,13919579.032165669
201303,16067304.74578706
201304,17049951.425281245
201305,14832774.736554982
201306,11907505.128542216
201307,6189852.224850807
201308,8877311.976817273
201309,11793450.577108465
201310,18468840.955322236
201311,18781661.36498684
201312,14021430.586038738
201401,12589557.843874523
201402,15127453.574502032
201403,17238278.514125902
201404,18815965.856516697
201405,14796258.425476864
201406,11209487.994385703
201407,11380632.934561754
201408,13600922.819139816
201409,15971698.465715092
201410,15789811.414960263
201411,10891820.515601302
201412,16011368.21811405
201501,15005573.91268673
201502,21519374.236341156
201503,19945843.31855921
201504,18164453.164043218
201505,15259086.365315195
201506,12325661.357346939
201507,10920420.066126188
201508,12495978.025444765
201509,13750350.565184247
201510,15903180.743488364
201511,18236031.332754813
201512,17210236.81416785
201601,11983542.214309318
201602,12365744.03479324
201603,14477450.022730382
201604,15542712.48028089
201605,17007991.985994678
201606,13184529.91485375
201607,8900160.614853526
201608,11356088.56518381
201609,14431378.135304937
201610,18285753.672098644
201611,14295081.714499883
201612,14033586.445540108
201701,17503954.09256673
201702,21899654.183491454
201703,22837280.607463982
201704,26640588.277446557
201705,26027744.53046336
201706,20616301.6149922
201707,15741578.27854609
201708,20600200.50033708
201709,23729302.181256056
201710,29305295.027953297
201711,24799246.537230495
201712,19608170.05451199
201801,18706893.833228473
201802,23640430.176682167
201803,25056842.685689136
201804,28922998.944312364
201805,23842048.443220392
201807,14620050.686331743
201808,16860995.016300682
201809,22325504.082776673
201810,24542460.950176828
201811,25198447.528988756
201812,19547463.254044898
201901,18362596.38218879
201902,21159194.371697407
201903,24875804.989414684
201904,25513170.921421207
