year,country,pixels,luminosity,lum/pix,population,lum_growth,percapitagdpgrowth
1992,Albania,76014.0,11956.0,0.15728681558660246,3247039.0,-0.978115692480938,-6.622551214
1993,Albania,76014.0,31200.0,0.41045070644881204,3227287.0,-0.9728684598819148,10.22994936
1994,Albania,76014.0,93815.0,1.2341805456889523,3207536.0,-0.9573627060564384,8.969761652999999
1995,Albania,76014.0,66224.0,0.8712079353803247,3187784.0,-0.98058873484986,14.02449593
1996,Albania,76014.0,57729.0,0.7594522061725472,3168033.0,-0.9722923801564006,9.780179886
1997,Albania,76014.0,105460.0,1.387376009682427,3148281.0,-0.9388192576223297,-10.36110498
1998,Albania,76014.0,119768.0,1.5756044939090168,3128530.0,-0.9253260857083926,9.51715258
1999,Albania,76014.0,141234.0,1.857999842134344,3108778.0,-0.9490495462367972,13.60715645
2000,Albania,76014.0,175906.0,2.3141263451469465,3089027.0,-0.931701278376742,7.633866403
2001,Albania,76014.0,171758.0,2.2595574499434314,3060173.0,-0.9385389481176164,9.311123961
2002,Albania,76014.0,191844.0,2.523798247691215,3051010.0,-0.9231212531533328,4.853922135
2003,Albania,76014.0,165912.0,2.1826505643697214,3039616.0,-0.9282185840268141,5.925630152999999
2004,Albania,76014.0,184407.0,2.4259610071828868,3026939.0,-0.9230903317211584,5.951880823
2005,Albania,76014.0,187828.0,2.4709658747072907,3011487.0,-0.9137769307911728,6.071390912000001
2006,Albania,76014.0,190939.0,2.5118925461099257,2992547.0,-0.9087515258577502,6.570331606
2007,Albania,76014.0,203654.0,2.6791643644591785,2970017.0,-0.8880308052755199,6.783926591
2008,Albania,76014.0,127716.0,1.6801641802825795,2947314.0,-0.9280464995347116,8.328035998999999
2009,Albania,76014.0,108899.0,1.43261767569132,2927519.0,-0.9446970185556959,4.048888488
2010,Albania,76014.0,162528.0,2.1381324492856577,2913021.0,-0.9146689468889059,4.223037747
2011,Albania,76014.0,150894.0,1.9850816954771489,2905195.0,-0.9144874515261421,2.8215579280000003
2012,Albania,303968.0,158414.71220402428,2.1445303065785546,2900401.0,-0.8988110457392698,1.585156475
2013,Albania,303968.0,167679.28779597572,2.1453899712650006,2895092.0,-0.9036736008100282,1.187203907
2014,Albania,303968.0,156584.0719637607,2.1435770814391377,2889104.0,-0.9125087650691944,1.985426103
2015,Albania,303968.0,140315.03403900826,2.140095530273626,2880703.0,-0.9069670307463557,2.516852986
2016,Albania,303968.0,137545.74504156213,2.1395029063347497,2876101.0,-0.9059571906442562,3.480117005
2017,Albania,303968.0,170370.53576027838,2.1465273652433217,2873457.0,-0.8961139075053012,3.897710666
2018,Albania,303968.0,185801.0347259958,2.149829470254509,2866376.0,-0.904925089865659,4.328395578
1992,Armenia,106304.0,32556.0,0.3062537627934979,3442817.0,-0.9899370904423036,-40.74445259
1993,Armenia,106304.0,40362.0,0.3796846779048766,3363108.0,-0.9884212680607002,-6.638468181
1994,Armenia,106304.0,63429.0,0.5966755719446116,3283667.0,-0.9842099034395267,7.949920792
1995,Armenia,106304.0,28877.0,0.2716454695966285,3217348.0,-0.9873612007011486,9.103521626000001
1996,Armenia,106304.0,41219.0,0.387746462974112,3168221.0,-0.9869464501869804,7.50696854
1997,Armenia,106304.0,91015.0,0.8561766255267911,3133089.0,-0.971347259859933,4.47964116
1998,Armenia,106304.0,111088.0,1.0450030102347982,3108687.0,-0.9697998438411076,8.142263813
1999,Armenia,106304.0,75796.0,0.7130117399157134,3089022.0,-0.9677637347529136,3.957617364
2000,Armenia,106304.0,101604.0,0.9557871763997592,3069591.0,-0.9694778576234632,6.570363869
2001,Armenia,106304.0,91432.0,0.8600993377483444,3050687.0,-0.9695504557685688,10.27915142
2002,Armenia,106304.0,114368.0,1.0758579169175195,3033978.0,-0.9663480709233541,13.82342535
2003,Armenia,106304.0,106785.0,1.004524759181216,3017932.0,-0.9694509694215722,14.60612499
2004,Armenia,106304.0,114414.0,1.0762906381697772,3000720.0,-0.9678585156645794,11.13382322
2005,Armenia,106304.0,128269.0,1.2066243979530404,2981269.0,-0.9714057416990458,14.64312949
2006,Armenia,106304.0,135745.0,1.2769510084286575,2958307.0,-0.9700586427843082,14.0786439
2007,Armenia,106304.0,166570.0,1.5669212823600245,2932618.0,-0.9616285192864412,14.69598355
2008,Armenia,106304.0,107041.0,1.0069329470198676,2907618.0,-0.9772203153579684,7.819137246
2009,Armenia,106304.0,82271.0,0.7739219596628537,2888092.0,-0.9761367208217624,-13.519241699999998
2010,Armenia,106304.0,126942.0,1.1941413305237811,2877319.0,-0.9621595612737879,2.582648083
2011,Armenia,106304.0,127212.0,1.1966812161348586,2876538.0,-0.9680037119547906,4.728426776
2012,Armenia,423306.0,150532.86890813697,1.3816010946034327,2884229.0,-0.9627977379790136,6.914143641
2013,Armenia,423306.0,143299.13109186303,1.3824717530786867,2897584.0,-0.9678495228836024,2.82388904
2014,Armenia,423306.0,130155.57572138267,1.3784497166890093,2912403.0,-0.9650561734488574,3.07285853
2015,Armenia,423306.0,138399.68865286038,1.380213945226551,2925553.0,-0.9577247356893211,2.736128725
2016,Armenia,423306.0,139901.96850957116,1.3805354309966529,2936146.0,-0.9738689427742916,-0.16150062
2017,Armenia,423306.0,154545.24317534207,1.383669071118172,2944809.0,-0.9279359542148928,7.183757928
2018,Armenia,423306.0,141437.36426832393,1.380864003523076,2951776.0,-0.9146568718126972,4.95169918
1992,Bosnia and Herzegovina,143993.0,24049.0,0.16701506323224047,4233676.0,5.364169849984251,0.0
1993,Bosnia and Herzegovina,143993.0,40340.0,0.28015250741355485,4078937.0,5.9491603256049945,0.0
1994,Bosnia and Herzegovina,143993.0,105930.0,0.7356607612870071,3936524.0,14.3377738173927,0.0
1995,Bosnia and Herzegovina,143993.0,97706.0,0.6785468738063656,3829050.0,8.183313792621753,24.19061984
1996,Bosnia and Herzegovina,143993.0,153972.0,1.069301979957359,3764425.0,7.805627992555169,92.20155909999998
