Year,country,pixels,luminosity,lum/pix,population,gdppercapitagrowth
1997,Armenia,106304.0,91015.0,0.8561766255267911,3133089,4.47964116
1998,Armenia,106304.0,111088.0,1.0450030102347982,3108687,8.142263813
1999,Armenia,106304.0,75796.0,0.7130117399157134,3089022,3.957617364
2000,Armenia,106304.0,101604.0,0.9557871763997592,3069591,6.5703638689999995
2001,Armenia,106304.0,91432.0,0.8600993377483444,3050687,10.27915142
2002,Armenia,106304.0,114368.0,1.0758579169175195,3033978,13.82342535
2003,Armenia,106304.0,106785.0,1.0045247591812159,3017932,14.60612499
2004,Armenia,106304.0,114414.0,1.0762906381697772,3000720,11.13382322
2005,Armenia,106304.0,128269.0,1.2066243979530404,2981269,14.64312949
2006,Armenia,106304.0,135745.0,1.2769510084286575,2958307,14.078643900000001
2007,Armenia,106304.0,166570.0,1.5669212823600245,2932618,14.69598355
2008,Armenia,106304.0,107041.0,1.0069329470198676,2907618,7.819137246
2009,Armenia,106304.0,82271.0,0.7739219596628537,2888092,-13.519241699999998
2010,Armenia,106304.0,126942.0,1.1941413305237811,2877319,2.582648083
2011,Armenia,106304.0,127212.0,1.1966812161348586,2876538,4.728426776
2012,Armenia,4672928.0,150532.86890813697,0.7585030062602546,2884229,6.914143641
2013,Armenia,4672928.0,143299.13109186303,0.6717544101517045,2897584,2.82388904
2014,Armenia,4672928.0,130155.57572138267,0.04463428541884879,2912403,3.07285853
2015,Armenia,4672928.0,138399.68865286038,0.0463985139563905,2925553,2.736128725
2016,Armenia,4672928.0,139901.96850957116,0.046719999726492406,2936146,-0.16150062
2017,Armenia,4672928.0,154545.24317534207,0.049853639848011694,2944809,7.1837579279999995
2018,Armenia,4672928.0,141437.36426832393,0.0470485722529154,2951776,4.95169918
1992,Bosnia and Herzegovina,143993.0,24049.0,0.16701506323224047,4233676,
1993,Bosnia and Herzegovina,143993.0,40340.0,0.28015250741355485,4078937,
1994,Bosnia and Herzegovina,143993.0,105930.0,0.7356607612870071,3936524,
