Year,country,pixels,luminosity,lum/pix,population,gdppercapitagrowth
2011,Indonesia,10441980.0,2798443.0,0.2679992683379972,245116206,4.7482206080000005
2012,Indonesia,4672928.0,3089489.9383811774,1.4228968947912108,248452413,4.606284255
2013,Indonesia,4672928.0,2999421.0616188226,1.4173567998659449,251806402,4.151271234
2014,Indonesia,4672928.0,3026177.72281148,2.544783060341969,255129004,3.63914313
2015,Indonesia,4672928.0,3071872.588131585,2.5545616970596976,258383256,3.5554395660000004
2016,Indonesia,4672928.0,3038394.0466787308,2.547397336416252,261554226,3.759693805
2017,Indonesia,4672928.0,3103834.03485365,2.5614014015708872,264645886,3.842334157
2018,Indonesia,4672928.0,3098142.721247413,2.560183468487768,267663435,3.9840571469999997
1992,Lao PDR,922745.0,8498.0,0.009209478241551024,4500351,2.7189944280000002
1993,Lao PDR,922745.0,10789.0,0.01169228768511344,4619944,3.170878221
1994,Lao PDR,922745.0,26519.0,0.028739250822274843,4735845,5.512027675
1995,Lao PDR,922745.0,18383.0,0.01992208031471317,4846483,4.587889951
1996,Lao PDR,922745.0,20481.0,0.022195731215016067,4951195,4.666914382
1997,Lao PDR,922745.0,43387.0,0.04701949075855194,5050315,4.774566329
1998,Lao PDR,922745.0,40003.0,0.04335217205186698,5144602,2.0621557619999997
1999,Lao PDR,922745.0,41600.0,0.045082877718112806,5235346,5.4464398260000015
2000,Lao PDR,922745.0,51493.0,0.0558041495754515,5323700,4.042908476
2001,Lao PDR,922745.0,52179.0,0.05654758356859154,5409582,4.072513692
2002,Lao PDR,922745.0,55450.0,0.06009244157378257,5493246,4.305565286
2003,Lao PDR,922745.0,52291.0,0.05666896054706338,5576640,4.48085875
2004,Lao PDR,922745.0,48935.0,0.0530319860849964,5662208,4.7504045989999995
2005,Lao PDR,922745.0,48992.0,0.05309375829725439,5751676,5.441497482999999
2006,Lao PDR,922745.0,64148.0,0.0695186644197476,5846074,6.865364104
2007,Lao PDR,922745.0,71097.0,0.07704945570011218,5944948,5.807321331
2008,Lao PDR,922745.0,43348.0,0.0469772255606912,6046620,6.011861177
2009,Lao PDR,922745.0,33483.0,0.03628629794797046,6148623,5.718366896
2010,Lao PDR,922745.0,109914.0,0.1191163322478041,6249165,6.7808303
2011,Lao PDR,922745.0,82427.0,0.08932803754016548,6347567,6.363803167
2012,Lao PDR,4672928.0,97185.86410528603,0.0928204757225312,6444530,6.4007611970000005
2013,Lao PDR,4672928.0,98375.13589471397,0.10178396381511767,6541304,6.42812696
2014,Lao PDR,4672928.0,96638.46735647434,0.08839306720345799,6639756,6.016330555
2015,Lao PDR,4672928.0,89621.67235896314,0.08689148297243385,6741164,5.656391582
2016,Lao PDR,4672928.0,82072.36957390764,0.08527594282607262,6845846,5.38631616
2017,Lao PDR,4672928.0,290166.0824939051,0.1298077038375835,6953035,5.2446600519999995
2018,Lao PDR,4672928.0,156531.0692164312,0.10120999951227096,7061507,4.61588222
1992,Latvia,241965.0,160825.0,0.6646622445394995,2614338,
1993,Latvia,241965.0,161093.0,0.6657698427458517,2563290,
1994,Latvia,241965.0,339038.0,1.4011861219597876,2520742,
1995,Latvia,241965.0,193910.0,0.8013968962453247,2485056,
1996,Latvia,241965.0,216336.0,0.8940797222738825,2457222,3.707638735
1997,Latvia,241965.0,423204.0,1.7490298183621598,2432851,10.03054362
1998,Latvia,241965.0,437825.0,1.8094559130452752,2410019,7.372844499
1999,Latvia,241965.0,350873.0,1.4500981546917944,2390482,3.668187498
2000,Latvia,241965.0,414641.0,1.7136404025375571,2367550,6.617989304
2001,Latvia,241965.0,436922.0,1.8057239683425288,2337170,7.701063702000001
2002,Latvia,241965.0,429465.0,1.774905461533693,2310173,8.367739023
2003,Latvia,241965.0,332424.0,1.373851590106007,2287955,9.489393882
2004,Latvia,241965.0,345229.0,1.426772467092348,2263122,9.530177515
2005,Latvia,241965.0,410228.0,1.6954022275949,2238799,11.94653212
2006,Latvia,241965.0,389348.0,1.609108755398508,2218357,12.91913744
2007,Latvia,241965.0,368495.0,1.522926869588577,2200325,10.91240721
2008,Latvia,241965.0,239632.0,0.9903581096439568,2177322,-2.325239512
2009,Latvia,241965.0,201630.0,0.833302337114872,2141669,-12.81044368
2010,Latvia,241965.0,635713.0,2.6272932035624987,2097555,-2.46440753
2011,Latvia,241965.0,346650.0,1.4326452172834914,2059709,8.238048179
2012,Latvia,4672928.0,382537.2505568869,0.8583725519616564,2034319,5.433913825
2013,Latvia,4672928.0,325471.74944311305,0.6947311249570991,2012647,3.4298629139999997
2014,Latvia,4672928.0,288156.5129099337,0.07597219146514521,1993782,2.879503461
2015,Latvia,4672928.0,278071.13796243805,0.07381393545360476,1977527,4.1093116919999995
2016,Latvia,4672928.0,279030.9548280112,0.07401933490884421,1959537,2.7081684760000004
2017,Latvia,4672928.0,271509.5567387956,0.07240976632802816,1942248,4.711180776
2018,Latvia,4672928.0,271222.0447852263,0.0723482391755513,1927174,5.100521854
1992,Lithuania,197505.0,198330.0,1.0041771094402674,3700114,
1993,Lithuania,197505.0,189334.0,0.9586288954710008,3682613,
1994,Lithuania,197505.0,477364.0,2.41697172223488,3657144,
1995,Lithuania,197505.0,216791.0,1.0976481608060555,3629102,
1996,Lithuania,197505.0,332336.0,1.682671324776588,3601613,5.952506849
1997,Lithuania,197505.0,502007.0,2.5417432470064045,3575137,9.095204159
1998,Lithuania,197505.0,769363.0,3.8954102427786634,3549331,8.248533457
1999,Lithuania,197505.0,564235.0,2.8568137515505936,3524238,-0.43070946600000004
2000,Lithuania,197505.0,606393.0,3.0702665755297334,3499536,4.5645787030000005
2001,Lithuania,197505.0,545894.0,2.763950279739753,3470818,7.405827694
2002,Lithuania,197505.0,704996.0,3.569509632667528,3443067,7.621237439
2003,Lithuania,197505.0,509843.0,2.581418191944508,3415213,11.44010204
2004,Lithuania,197505.0,543603.0,2.7523505734032048,3377075,7.753374983
2005,Lithuania,197505.0,619979.0,3.13905470747576,3322528,9.496003055
2006,Lithuania,197505.0,536027.0,2.7139920508341557,3269909,9.134816375
2007,Lithuania,197505.0,590051.0,2.987524366471735,3231294,12.41447902
2008,Lithuania,197505.0,322476.0,1.632748538011696,3198231,3.689037017
2009,Lithuania,197505.0,265396.0,1.3437431963747752,3162916,-13.863035199999999
2010,Lithuania,197505.0,990040.0,5.012733854839119,3097282,3.632725953
2011,Lithuania,197505.0,604308.0,3.0597098807625125,3028115,8.447433601
2012,Lithuania,4672928.0,543257.8995340932,1.5510928680248681,2987773,5.2352978619999995
2013,Lithuania,4672928.0,453694.1004659069,1.0973781748085951,2957689,4.6117644669999995
2014,Lithuania,4672928.0,444265.6443369552,0.11300488459290435,2932367,4.401798234
2015,Lithuania,4672928.0,458997.7579160773,0.11615753611655767,2904910,2.9975580369999997
2016,Lithuania,4672928.0,453067.0918724761,0.11488838194949128,2868231,3.867427138
2017,Lithuania,4672928.0,368123.1889845628,0.09671050656003237,2828403,5.715533225
2018,Lithuania,4672928.0,372601.3336262602,0.09766882319613238,2801543,4.6384582739999995
1992,Moldova,146780.0,342607.0,2.3341531543807057,2977130,
1993,Moldova,146780.0,277468.0,1.8903665349502656,2973114,
1994,Moldova,146780.0,436738.0,2.9754598719171548,2964277,
1995,Moldova,146780.0,244685.0,1.6670186673933778,2952307,
1996,Moldova,146780.0,252895.0,1.7229527183539992,2946401,-5.688392715
1997,Moldova,146780.0,331173.0,2.2562542580733065,2935524,2.023697472
1998,Moldova,146780.0,337067.0,2.296409592587546,2934339,-6.5044501320000006
1999,Moldova,146780.0,207271.0,1.4121201798610166,2929735,-3.216400332
2000,Moldova,146780.0,222560.0,1.51628287232593,2923783,2.315578644
2001,Moldova,146780.0,286239.0,1.9501226325112413,2917252,6.337531865
2002,Moldova,146780.0,283796.0,1.9334786755688784,2910504,8.04993381
2003,Moldova,146780.0,201727.0,1.374349366398692,2902320,6.900592116
2004,Moldova,146780.0,219026.0,1.4922060226188854,2895147,7.666093328
2005,Moldova,146780.0,228382.0,1.5559476767952036,2888111,7.761891042999999
2006,Moldova,146780.0,216351.0,1.4739814688649682,2880095,5.091683561
2007,Moldova,146780.0,209934.0,1.4302629786074397,2873429,3.238947505
2008,Moldova,146780.0,118383.0,0.8065335876822456,2867964,8.005416601
2009,Moldova,146780.0,116170.0,0.7914566017168552,2864346,-5.881267427
2010,Moldova,146780.0,223020.0,1.5194168142798747,2861487,7.207007000000001
2011,Moldova,146780.0,173714.0,1.183499114320752,2859833,5.879366918
2012,Moldova,4672928.0,223210.2807288674,0.9990528018404788,2859458,-0.576697101
2013,Moldova,4672928.0,194039.7192711326,0.8235348802986291,2858692,9.073084346
2014,Moldova,4672928.0,285321.80832917197,0.41765582105371696,2856950,5.063648177
2015,Moldova,4672928.0,266976.26183555485,0.4137298999837546,2834530,0.450049451
2016,Moldova,4672928.0,269647.8373767605,0.4143016133808379,2802170,5.6146207189999995
2017,Moldova,4672928.0,270722.3875611319,0.41453156560444826,2755158,6.477160519
2018,Moldova,4672928.0,292744.2363321476,0.41924421017569263,2706049,6.194326608
1992,Montenegro,45372.0,21264.0,0.4686590848981751,608516,
1993,Montenegro,45372.0,23374.0,0.5151635369831614,610170,
1994,Montenegro,45372.0,47815.0,1.053843780305034,611389,
1995,Montenegro,45372.0,32821.0,0.7233756501807282,611712,
1996,Montenegro,45372.0,33633.0,0.7412721502248083,611003,
1997,Montenegro,45372.0,62739.0,1.3827691087014018,609520,
1998,Montenegro,45372.0,78079.0,1.7208630873666582,607662,5.220751161
1999,Montenegro,45372.0,78507.0,1.730296217931764,606001,-9.151674097999999
2000,Montenegro,45372.0,96163.0,2.1194348937670813,604950,3.279119285
2001,Montenegro,45372.0,85716.0,1.8891827558846863,607389,0.693871395
2002,Montenegro,45372.0,90554.0,1.9958123953098827,609828,1.496370321
2003,Montenegro,45372.0,89368.0,1.9696729260336767,612267,2.0744139280000002
2004,Montenegro,45372.0,78458.0,1.7292162567222076,613353,4.2411566689999995
2005,Montenegro,45372.0,98347.0,2.1675703076787447,614261,4.026601866
2006,Montenegro,45372.0,98342.0,2.1674601075553204,615025,8.431555487
2007,Montenegro,45372.0,101232.0,2.2311557788944723,615875,6.662736441
2008,Montenegro,45372.0,60270.0,1.3283522877545624,616969,7.032624533
2009,Montenegro,45372.0,51150.0,1.1273472626289345,618294,-5.996974288
2010,Montenegro,45372.0,81809.0,1.8030723794410648,619428,2.546261312
2011,Montenegro,45372.0,85326.0,1.880587146257604,620079,3.1200749560000003
2012,Montenegro,4672928.0,83649.6685102339,1.1364322307986627,620601,-2.805617761
2013,Montenegro,4672928.0,86805.3314897661,1.1505414572864403,621207,3.4479664260000003
2014,Montenegro,4672928.0,84397.46333585457,0.4083798575837427,621810,1.685007966
2015,Montenegro,4672928.0,86429.7041324986,0.4088147542473857,622159,3.3323630680000003
2016,Montenegro,4672928.0,87642.47659616711,0.4090742858437785,622303,2.925463391
2017,Montenegro,4672928.0,100615.88914077275,0.41185057782700735,622373,4.704686618999999
2018,Montenegro,4672928.0,95535.29802468141,0.4107633384952455,622227,5.102542982
1992,Myanmar,2357003.0,71016.0,0.03012978770073691,42401684,8.338114178
1993,Myanmar,2357003.0,88363.0,0.037489557713757685,42890002,4.832113647
1994,Myanmar,2357003.0,181813.0,0.07713736469575982,43383428,6.255546448
1995,Myanmar,2357003.0,120159.0,0.05097957024237983,43901598,5.6857449529999995
1996,Myanmar,2357003.0,143905.0,0.061054228611503676,44452206,5.1242608569999994
1997,Myanmar,2357003.0,273291.0,0.11594851597558425,45027233,4.302343653
1998,Myanmar,2357003.0,259696.0,0.11018059798820792,45611220,4.5107464010000005
1999,Myanmar,2357003.0,250999.0,0.10649074269315736,46181077,9.576109096
2000,Myanmar,2357003.0,321503.0,0.13640330538399822,46719701,12.43457182
2001,Myanmar,2357003.0,276054.0,0.11712076734734744,47225120,10.15235644
2002,Myanmar,2357003.0,253919.0,0.10772960407772074,47702171,10.90518951
2003,Myanmar,2357003.0,197254.0,0.08368848066803479,48148902,12.78773931
2004,Myanmar,2357003.0,198607.0,0.08426251472738898,48564484,12.59285207
2005,Myanmar,2357003.0,198844.0,0.08436306614798539,48949924,12.67468886
2006,Myanmar,2357003.0,213042.0,0.09038681749662597,49301050,12.27076439
2007,Myanmar,2357003.0,224268.0,0.09514964554563572,49621475,11.26826335
2008,Myanmar,2357003.0,142262.0,0.06035715694888806,49929642,9.574806889
2009,Myanmar,2357003.0,79106.0,0.03356211256413335,50250367,9.844419191
2010,Myanmar,2357003.0,539484.0,0.2288855805444457,50600818,8.875133566
2011,Myanmar,2357003.0,421365.0,0.17877151620087034,50990615,4.784289857
2012,Myanmar,4672928.0,387598.8588205818,0.3427494382087172,51413698,6.449430572000001
2013,Myanmar,4672928.0,411455.14117941813,0.3560467295367779,51852451,7.508547127999999
2014,Myanmar,4672928.0,238807.09473838023,0.4948959743359685,52280807,7.10610606
2015,Myanmar,4672928.0,266580.3430784077,0.5008394103016044,52680726,6.180617815
2016,Myanmar,4672928.0,296909.000242358,0.5073297001506991,53045226,5.023403471
2017,Myanmar,4672928.0,422469.2662742493,0.5341994199563309,53382581,5.732543538
2018,Myanmar,4672928.0,434606.73746905866,0.536796821669948,53708395,6.102874337
1992,Nepal,469964.0,29038.0,0.061787711399171,19938320,1.324348789
1993,Nepal,469964.0,28769.0,0.06121532713143985,20489975,1.053883262
1994,Nepal,469964.0,64521.0,0.13728923917576666,21040904,5.382505909
1995,Nepal,469964.0,45657.0,0.09714999446766136,21576071,0.9020485290000001
1996,Nepal,469964.0,49248.0,0.10479100526848864,22090352,2.876157775
1997,Nepal,469964.0,83852.0,0.17842217701781413,22584775,2.748901773
1998,Nepal,469964.0,95517.0,0.20324322714080229,23057883,0.902670803
1999,Nepal,469964.0,109344.0,0.2326646296312058,23509964,2.4047888040000003
2000,Nepal,469964.0,127912.0,0.27217403886255115,23941110,4.287486107
2001,Nepal,469964.0,142416.0,0.3030359772237873,24347106,3.05231948
2002,Nepal,469964.0,131768.0,0.28037892264088315,24725627,-1.4125814230000002
2003,Nepal,469964.0,97407.0,0.20726481177281664,25080872,2.472762204
2004,Nepal,469964.0,124858.0,0.2656756687746296,25419344,3.2886990560000005
2005,Nepal,469964.0,113122.0,0.2407035432501213,25744500,2.172227072
2006,Nepal,469964.0,116030.0,0.2468912512447762,26066693,2.086993751
2007,Nepal,469964.0,120049.0,0.2554429700998374,26382581,2.173376985
2008,Nepal,469964.0,61123.0,0.13005889812836727,26666576,4.974640788
2009,Nepal,469964.0,47840.0,0.10179503110876577,26883535,3.689462275
2010,Nepal,469964.0,83104.0,0.17683056574546135,27013212,4.313243158
2011,Nepal,469964.0,64019.0,0.13622107225234273,27041437,3.313879795
2012,Nepal,4672928.0,2110.736334516056,0.16421192819986946,26989862,4.98141892
2013,Nepal,4672928.0,111846.26366548393,0.2093567928210112,26917906,4.407231331
2014,Nepal,4672928.0,42194.15189450317,0.2491647538398192,26906926,6.032235943
2015,Nepal,4672928.0,-35778.578352871584,0.2324786995613508,27015031,2.909442183
2016,Nepal,4672928.0,-55438.64150340203,0.2282714737811697,27261131,-0.31938631300000003
2017,Nepal,4672928.0,404754.6735600715,0.3267521940198451,27627124,6.7897981960000005
2018,Nepal,4672928.0,314890.081268838,0.3075212980395875,28087871,4.950696778999999
1992,Philippines,1744448.0,239243.0,0.13714538925780534,65020116,-2.077979559
1993,Philippines,1744448.0,325014.0,0.1863133782147705,66593904,-0.296968049
1994,Philippines,1744448.0,683758.0,0.3919623858091499,68180859,1.957931735
1995,Philippines,1744448.0,416558.0,0.2387907234838757,69784088,2.2737898999999997
1996,Philippines,1744448.0,430112.0,0.24656051656455225,71401749,3.4478546010000004
1997,Philippines,1744448.0,984196.0,0.5641876398723263,73030884,2.838941888
1998,Philippines,1744448.0,996354.0,0.5711571798070221,74672014,-2.761827692
1999,Philippines,1744448.0,893390.0,0.5121333510657813,76325927,0.848225648
2000,Philippines,1744448.0,935278.0,0.5361455314231207,77991755,2.1811000480000002
2001,Philippines,1744448.0,982809.0,0.5633925459514987,79672873,0.874866204
2002,Philippines,1744448.0,1068204.0,0.6123449939465092,81365258,1.5589726609999999
2003,Philippines,1744448.0,935935.0,0.5365221548593022,83051971,2.952687744
2004,Philippines,1744448.0,993419.0,0.5694746991598488,84710542,4.482680278
2005,Philippines,1744448.0,850335.0,0.4874521911802473,86326250,2.978369701
2006,Philippines,1744448.0,825025.0,0.4729433035550501,87888675,3.4441732989999996
2007,Philippines,1744448.0,958207.0,0.5492895173716843,89405482,4.712140541
2008,Philippines,1744448.0,511417.0,0.29316838335106576,90901965,2.626705391
2009,Philippines,1744448.0,465386.0,0.2667812396815497,92414158,-0.211697948
2010,Philippines,1744448.0,839300.0,0.4811264078952196,93966780,5.561001857999999
2011,Philippines,1744448.0,625551.0,0.35859538375463185,95570047,2.115924619
2012,Philippines,4672928.0,672426.055979892,0.41520248332172,97212638,5.090725952
2013,Philippines,4672928.0,696355.944020108,0.4305002413598765,98871552,4.959420034
2014,Philippines,4672928.0,625812.5301389882,0.44084176345515,100513138,4.611106406
2015,Philippines,4672928.0,699259.9344245145,0.4565594043615638,102113212,4.681873396
2016,Philippines,4672928.0,666808.4591975072,0.4496148344415891,103663927,5.546601497999999
2017,Philippines,4672928.0,802695.6441838128,0.4786945003355009,105173264,5.396426299
2018,Philippines,4672928.0,759492.6853728433,0.4694491280954473,106651922,4.867131566
1992,Poland,837200.0,2456297.0,2.9339429049211656,38363667,2.201065851
1993,Poland,837200.0,2230093.0,2.6637517916865745,38461408,3.474682773
1994,Poland,837200.0,4587921.0,5.480077639751553,38542652,5.070855514
1995,Poland,837200.0,4069906.0,4.861330625895843,38594998,6.8067989220000005
1996,Poland,837200.0,3793730.0,4.5314500716674635,38624370,5.97597347
1997,Poland,837200.0,6450536.0,7.704892498805544,38649660,6.389865081
1998,Poland,837200.0,10227361.0,12.216150262780696,38663481,4.577298819
1999,Poland,837200.0,8511626.0,10.1667773530817,38660271,4.650864353
2000,Poland,837200.0,8283872.0,9.894734830387003,38258629,5.65722347
2001,Poland,837200.0,9895096.0,11.819273769708552,38248076,1.2759031779999999
2002,Poland,837200.0,10948089.0,13.077029383659818,38230364,2.088899283
2003,Poland,837200.0,7982032.0,9.534199713330148,38204570,3.632387365
2004,Poland,837200.0,8262011.0,9.868622790253225,38182222,5.197186558
2005,Poland,837200.0,9031180.0,10.787362637362637,38165445,3.538719402
2006,Poland,837200.0,9615989.0,11.485892259914,38141267,6.246642985
2007,Poland,837200.0,8241338.0,9.843929765886287,38120560,7.093368002
2008,Poland,837200.0,4613272.0,5.510358337314859,38125759,4.2355723360000015
2009,Poland,837200.0,5017997.0,5.993785236502628,38151603,2.750474183
2010,Poland,837200.0,11013992.0,13.15574773053034,38042794,3.903857948
2011,Poland,837200.0,6965483.0,8.31997491638796,38063255,4.9607829169999995
2012,Poland,4672928.0,7792816.922107087,5.721355796251628,38063164,1.608149565
2013,Poland,4672928.0,6589953.077892913,4.289154582785411,38040196,1.453110959
2014,Poland,4672928.0,7200229.445840696,1.4225977745780165,38011735,3.3958064460000004
2015,Poland,4672928.0,7187359.309242241,1.4198435835015748,37986412,3.908293902
2016,Poland,4672928.0,7206992.612541234,1.4240450827112765,37970087,3.108219795
2017,Poland,4672928.0,7198935.870655755,1.4223209513132582,37974826,4.924567738
2018,Poland,4672928.0,7192932.093326459,1.4210361514341898,37974750,5.349235953
1992,Romania,615850.0,500605.0,0.8128683932775839,22794284,-7.939239528
1993,Romania,615850.0,683852.0,1.1104197450677924,22763280,1.66711861
1994,Romania,615850.0,1411605.0,2.2921247056913208,22730211,4.083147899
1995,Romania,615850.0,1142922.0,1.8558447673946576,22684270,6.448659414
1996,Romania,615850.0,1128357.0,1.8321945278882843,22619004,4.207522544
1997,Romania,615850.0,2046843.0,3.323606397661768,22553978,-4.57473043
1998,Romania,615850.0,2890457.0,4.693443208573517,22507344,-1.826823974
1999,Romania,615850.0,2118089.0,3.4392936591702523,22472040,-0.220150555
2000,Romania,615850.0,2938705.0,4.77178696111066,22442971,2.593975232
2001,Romania,615850.0,2931548.0,4.7601656247462865,22131970,6.6966736660000015
2002,Romania,615850.0,3248319.0,5.274529512056508,21730496,7.655869433999999
2003,Romania,615850.0,2434531.0,3.9531233254851017,21574326,3.081963843
2004,Romania,615850.0,2476607.0,4.021445157099943,21451748,11.05911322
2005,Romania,615850.0,2563431.0,4.1624275391735,21319685,5.316506112
2006,Romania,615850.0,2310872.0,3.752329300966145,21193760,8.670675852999999
2007,Romania,615850.0,2487938.0,4.039844117885849,20882982,8.829648237
2008,Romania,615850.0,1585108.0,2.5738540228951856,20537875,11.1442089
2009,Romania,615850.0,1459501.0,2.3698968904765767,20367487,-4.7269826010000005
2010,Romania,615850.0,2275121.0,3.6942778273930337,20246871,-3.328750364
2011,Romania,615850.0,2153323.0,3.4965056426077785,20147528,2.510130947
2012,Romania,4672928.0,2228928.296071716,2.166415770801884,20058035,2.532603026
2013,Romania,4672928.0,1984176.7039282846,1.7528701244132692,19983693,3.899639726
2014,Romania,4672928.0,2070960.8087224527,0.491108310256457,19908979,3.7988870219999997
2015,Romania,4672928.0,2089390.214735657,0.4950521771453122,19815616,4.360922044
2016,Romania,4672928.0,2161234.302753457,0.5104267106321966,19702267,5.403728791
2017,Romania,4672928.0,2166506.773443715,0.5115550119221498,19587290,7.740182644
2018,Romania,4672928.0,2216598.1047175843,0.5222744861519837,19472545,5.052266425
1992,Serbia,236027.0,352814.0,1.4948035606095913,7646424,
1993,Serbia,236027.0,366490.0,1.5527460841344425,7699307,
1994,Serbia,236027.0,776696.0,3.290708266427146,7734639,
1995,Serbia,236027.0,528561.0,2.2394090506594586,7625357,
1996,Serbia,236027.0,543598.0,2.3031178636342453,7617794,6.369583948
1997,Serbia,236027.0,1091247.0,4.623399017908968,7596501,7.50787465
1998,Serbia,236027.0,1296296.0,5.492151321670827,7567745,3.73356474
1999,Serbia,236027.0,1134839.0,4.808089752443577,7540401,-9.095704949
2000,Serbia,236027.0,1137083.0,4.817597139310333,7516346,6.4714730639999996
2001,Serbia,236027.0,1215517.0,5.149906578484665,7503433,7.062707626
2002,Serbia,236027.0,1316546.0,5.577946590856131,7496522,6.478473012
2003,Serbia,236027.0,1207020.0,5.113906459854169,7480591,4.610064189
2004,Serbia,236027.0,1081594.0,4.582501154528932,7463157,9.282892956
2005,Serbia,236027.0,1364234.0,5.779991272184963,7440769,5.84786936
2006,Serbia,236027.0,1203264.0,5.097993026221577,7411569,5.5218901339999995
2007,Serbia,236027.0,1285121.0,5.444805043490787,7381579,6.8719751979999995
2008,Serbia,236027.0,776390.0,3.2894118045816803,7350222,6.106314879
2009,Serbia,236027.0,726101.0,3.0763471975663803,7320807,-2.34092987
2010,Serbia,236027.0,1125884.0,4.770149177848297,7291436,1.136806237
2011,Serbia,236027.0,980051.0,4.152283425201354,7234099,2.845008637
2012,Serbia,4672928.0,1033321.6376579086,2.493211784160761,7199077,-0.19837866199999998
2013,Serbia,4672928.0,959898.3623420914,2.1452116052852257,7164132,3.394520937
2014,Serbia,4672928.0,997857.5146136964,0.4162497028373333,7130576,-1.126393172
2015,Serbia,4672928.0,1003215.0516425931,0.4173962082037538,7095383,2.281130095
2016,Serbia,4672928.0,1026824.853495519,0.4224486724944353,7058322,3.8829362119999997
2017,Serbia,4672928.0,1070950.2993574813,0.4318914556620686,7020858,2.59385298
2018,Serbia,4672928.0,1051757.9415213256,0.4277843181593817,6982604,4.964149989
1992,Tajikistan,459342.0,185422.0,0.40366872613434,5502494,-30.31437666
1993,Tajikistan,459342.0,168780.0,0.3674386404900923,5593315,-17.75744809
1994,Tajikistan,459342.0,339882.0,0.7399323379965255,5679167,-22.48970639
1995,Tajikistan,459342.0,212892.0,0.463471661637734,5764810,-13.71748028
1996,Tajikistan,459342.0,198684.0,0.43254046004937496,5851355,-17.93205471
1997,Tajikistan,459342.0,285996.0,0.6226210535940541,5938405,0.190155607
1998,Tajikistan,459342.0,366255.0,0.7973470747286335,6027388,3.7581220710000003
1999,Tajikistan,459342.0,288789.0,0.6287014903927792,6119661,2.135956158
2000,Tajikistan,459342.0,315921.0,0.6877685907232519,6216341,6.639604224
2001,Tajikistan,459342.0,308021.0,0.6705700763265715,6318513,7.808885532000001
2002,Tajikistan,459342.0,393512.0,0.8566863034514588,6426867,8.969216162
2003,Tajikistan,459342.0,282356.0,0.6146966748087481,6541547,8.983818465
2004,Tajikistan,459342.0,322024.0,0.7010549873514723,6662389,8.368482736
2005,Tajikistan,459342.0,323062.0,0.7033147415215678,6789321,4.650489995
2006,Tajikistan,459342.0,305810.0,0.6657566693226398,6922587,4.987680214
2007,Tajikistan,459342.0,360203.0,0.7841717064844931,7062672,5.622764225
2008,Tajikistan,459342.0,156184.0,0.3400168066495117,7209930,5.706529111
2009,Tajikistan,459342.0,75262.0,0.16384741652189436,7364753,1.708769846
2010,Tajikistan,459342.0,162760.0,0.3543329371143941,7527394,4.2191365460000005
2011,Tajikistan,459342.0,130493.0,0.28408680242607903,7697510,5.02707203
2012,Tajikistan,4672928.0,205674.64293666,0.3920490227022436,7874835,5.0658088260000005
2013,Tajikistan,4672928.0,148687.35706334,0.3968085014981265,8059769,4.935751742
2014,Tajikistan,4672928.0,52019.92993359547,0.3763453862848933,8252833,4.209724631
2015,Tajikistan,4672928.0,36083.201417033764,0.3729349488639526,8454028,3.485426878
2016,Tajikistan,4672928.0,77072.81923244124,0.38170666925326896,8663579,4.28796556
2017,Tajikistan,4672928.0,253312.1313316004,0.4194216334254453,8880268,4.991499098
2018,Tajikistan,4672928.0,142691.74283944312,0.3957490263379495,9100837,4.6994643410000005
1992,Turkmenistan,1516613.0,302532.0,0.19947870682896693,3899843,-17.37882574
1993,Turkmenistan,1516613.0,288847.0,0.19045531061648555,4010789,-1.3076815609999999
1994,Turkmenistan,1516613.0,630007.0,0.4154039296775117,4115102,-19.39621183
1995,Turkmenistan,1516613.0,347549.0,0.2291612955974925,4207841,-9.24531199
1996,Turkmenistan,1516613.0,353054.0,0.23279109436619624,4287346,4.721336163
1997,Turkmenistan,1516613.0,586651.0,0.3868165444975086,4355116,-12.77870564
1998,Turkmenistan,1516613.0,785708.0,0.5180675623906692,4413479,5.683730476
1999,Turkmenistan,1516613.0,768646.0,0.5068174939816552,4466135,15.1264575
2000,Turkmenistan,1516613.0,868686.0,0.5727802676094692,4516133,4.301418656
2001,Turkmenistan,1516613.0,918088.0,0.6053541674771349,4564083,3.2476151239999997
2002,Turkmenistan,1516613.0,1053598.0,0.6947045818544348,4610005,-0.74151969
2003,Turkmenistan,1516613.0,906217.0,0.5975268575437505,4655743,2.254316014
2004,Turkmenistan,1516613.0,975969.0,0.6435188146217921,4703401,3.936473187
2005,Turkmenistan,1516613.0,936722.0,0.6176407560795009,4754646,11.8157677
2006,Turkmenistan,1516613.0,894846.0,0.5900292296057069,4810109,9.693729713
2007,Turkmenistan,1516613.0,953762.0,0.6288763184807199,4870141,9.690322296
2008,Turkmenistan,1516613.0,559190.0,0.3687097499493938,4935767,13.17494782
2009,Turkmenistan,1516613.0,428365.0,0.2824484558684384,5007954,4.570624903
2010,Turkmenistan,1516613.0,775481.0,0.5113242468579657,5087213,7.498659234
2011,Turkmenistan,1516613.0,658716.0,0.4343336104859974,5174085,12.7742066
2012,Turkmenistan,4672928.0,687467.9854273658,0.4742084237083956,5267900,9.121441808
2013,Turkmenistan,4672928.0,708396.0145726342,0.4778399074293701,5366375,8.177788644
2014,Turkmenistan,4672928.0,667938.3328157028,0.485438499927176,5466328,8.283140408
2015,Turkmenistan,4672928.0,669459.383961553,0.4857640027266735,5565287,4.606273047
2016,Turkmenistan,4672928.0,679089.0954654164,0.4878247474040714,5662372,4.379132846
