country,year,pixels,luminosity,lum/pix,population,constantgdp
Australia,1992.0,19104396.0,1519412.0,0.07953206162602576,17495000,613000000000
Australia,1993.0,19104396.0,1682915.0,0.08809045834267673,17667000,638000000000
Australia,1994.0,19104396.0,3342094.0,0.1749384801278198,17855000,663000000000
Australia,1995.0,19104396.0,1978900.0,0.10358348937071864,18072000,688000000000
Australia,1996.0,19104396.0,1923676.0,0.10069284577225053,18311000,715000000000
Australia,1997.0,19104396.0,3588327.0,0.18782729378097066,18517000,744000000000
Australia,1998.0,19104396.0,3741370.0,0.1958381725336933,18711000,778000000000
Australia,1999.0,19104396.0,3697862.0,0.19356079093000367,18926000,817000000000
Australia,2000.0,19104396.0,3874126.0,0.20278714909385254,19153000,849000000000
Australia,2001.0,19104396.0,3847714.0,0.2014046400629468,19413000,866000000000
Australia,2002.0,19104396.0,4090624.0,0.21411951469180185,19651400,900000000000
Australia,2003.0,19104396.0,3394017.0,0.1776563362694115,19895400,927000000000
Australia,2004.0,19104396.0,3576458.0,0.18720602315823007,20127400,965000000000
Australia,2005.0,19104396.0,3369741.0,0.1763856339661301,20394800,996000000000
Australia,2006.0,19104396.0,3596108.0,0.188234582239606,20697900,1020000000000
Australia,2007.0,19104396.0,3709803.0,0.1941858303188439,20827600,1060000000000
Australia,2008.0,19104396.0,2015312.0,0.10548943813769354,21249200,1100000000000
Australia,2009.0,19104396.0,2024589.0,0.10597503318084486,21691700,1120000000000
Australia,2010.0,19104396.0,2686539.0,0.14062412650994044,22031750,1150000000000
Australia,2011.0,19104396.0,2336816.0,0.12231823502821025,22340024,1170000000000
Australia,2012.0,76415841.0,2590096.236705965,0.1326735429494891,22733465,1220000000000
Australia,2013.0,76415841.0,2543823.763294035,0.13605623003050984,23128129,1250000000000
Australia,2014.0,76415841.0,2538743.97581286,0.12832669711769565,23475686,1280000000000
Australia,2015.0,76415841.0,2546094.7638810296,0.12989975539468393,23815995,1310000000000
Australia,2016.0,76415841.0,2583966.827889643,0.1380043236672132,24190907,1350000000000
Australia,2017.0,76415841.0,2587548.24890542,0.13877074271235507,24601860,1380000000000
Australia,2018.0,76415841.0,2590403.0242537744,0.13938166060973217,24982688,1420000000000
Brazil,1992.0,22056902.0,4722040.0,0.21408446208810286,154259380,1200000000000
Brazil,1993.0,22056902.0,5522327.0,0.2503672999952577,156849078,1260000000000
Brazil,1994.0,22056902.0,10027014.0,0.4545975676910565,159432716,1330000000000
Brazil,1995.0,22056902.0,6737433.0,0.3054569041472823,162019896,1380000000000
Brazil,1996.0,22056902.0,6863913.0,0.3111911636548052,164614688,1410000000000
Brazil,1997.0,22056902.0,13436134.0,0.6091578046635924,167209040,1460000000000
Brazil,1998.0,22056902.0,14302118.0,0.6484191660279399,169785250,1470000000000
Brazil,1999.0,22056902.0,15030473.0,0.6814408025206804,172318675,1470000000000
Brazil,2000.0,22056902.0,15436249.0,0.6998375837186926,174790340,1540000000000
Brazil,2001.0,22056902.0,13629258.0,0.6179135220349621,177196054,1560000000000
Brazil,2002.0,22056902.0,14639679.0,0.6637232644910877,179537520,1610000000000
Brazil,2003.0,22056902.0,12783743.0,0.5795801695088458,181809246,1630000000000
