country,year,pixels,luminosity,lum/pix,lum_growth,population,gdpgrowth
India,1994.0,11590432.0,19506846.0,1.6830128505995292,1.1297099337717975,945601831,6.658924067
India,1995.0,11590432.0,11809796.0,1.018926300590004,-0.3945819841916012,963922588,7.57449184
India,1996.0,11590432.0,12201137.0,1.0526904432897757,0.03313698221374865,982365243,7.549522249
India,1997.0,11590432.0,21376606.0,1.844332118078084,0.752017537381967,1000900030,4.049820849
India,1998.0,11590432.0,24323277.0,2.098565178588684,0.1378455962560193,1019483581,6.184415821
India,1999.0,11590432.0,24745904.0,2.1350286167072983,0.0173754136829507,1038058156,8.845755561
India,2000.0,11590432.0,26441225.0,2.2812976254897137,0.06850915610114708,1056575549,3.840991157
India,2001.0,11590432.0,26814822.0,2.313530850273743,0.014129337804886118,1075000085,4.823966264
India,2002.0,11590432.0,27108122.0,2.3388362055875054,0.010937980494519037,1093317189,3.8039753210000002
India,2003.0,11590432.0,21094863.0,1.8200238783161835,-0.22182499399995328,1111523144,7.860381476000001
India,2004.0,11590432.0,23865473.0,2.05906673711558,0.1313405069281559,1129623456,7.922936612999999
India,2005.0,11590432.0,21716951.0,1.8736964247751944,-0.0900263740844357,1147609927,7.9234306210000005
India,2006.0,11590432.0,23066583.0,1.9901400569021068,0.06214647719194099,1165486291,8.060732573
India,2007.0,11590432.0,26661612.0,2.3003121885361995,0.1558544236916235,1183209472,7.660815065
India,2008.0,11590432.0,15158007.0,1.3078034537452958,-0.4314669720645548,1200669765,3.08669806
India,2009.0,11590432.0,14461509.0,1.2477109567615772,-0.04594918052221509,1217726215,7.861888832999999
India,2010.0,11590432.0,21892570.0,1.8888484915834023,0.513851009600727,1234281170,8.497584702000001
India,2011.0,11590432.0,18633968.0,1.607702629203122,-0.14884511046441784,1250288729,5.241344743
India,2012.0,46361728.0,20567116.8514535,1.7809189607471472,0.10374327418902414,1265782790,5.456358951
India,2013.0,46361728.0,20335785.148546506,1.7481041162184048,-0.011247648592546776,1280846129,6.386106401
India,2014.0,46361728.0,20331560.407219168,1.7388551207547838,-0.00020774911302797093,1295604184,7.410227605
India,2015.0,46361728.0,20371219.14045054,1.7473420337205672,0.0019505995819824747,1310152403,7.996253444
India,2016.0,46361728.0,20523261.44297235,1.7798788719773968,0.00746358386670653,1324509589,8.256305844
India,2017.0,46361728.0,20641947.282237493,1.805277474152552,0.005782991148601407,1338658835,7.043820855
India,2018.0,46361728.0,20655628.016909353,1.8082051320732089,0.0006627637637478746,1352617328,6.119586841
Indonesia,1992.0,10441980.0,914064.0,0.08753742106382123,-0.9557474602441659,187739786,6.497506517000001
Indonesia,1993.0,10441980.0,1369995.0,0.1312006918228152,0.4987954891561204,190851175,6.49640812
Indonesia,1994.0,10441980.0,2781003.0,0.2663290870122333,1.0299366056080497,193917462,7.539971096
Indonesia,1995.0,10441980.0,1768047.0,0.1693210483069303,-0.3642412467731966,196934260,8.220007399
Indonesia,1996.0,10441980.0,1825001.0,0.17477537784979474,0.03221294456538768,199901228,7.818187077
Indonesia,1997.0,10441980.0,3714569.0,0.3557341615287522,1.0353791586963514,202826446,4.699878854
Indonesia,1998.0,10441980.0,3506335.0,0.33579215819222025,-0.056058724444208737,205724592,-13.12672549
Indonesia,1999.0,10441980.0,3594975.0,0.34428096970114863,0.025279957562526115,208615169,0.791126082
Indonesia,2000.0,10441980.0,3898591.0,0.3733574475338968,0.0844556638085105,211513823,4.920067747
Indonesia,2001.0,10441980.0,4111172.0,0.3937157512272577,0.05452764857867881,214427417,3.6434664469999998
Indonesia,2002.0,10441980.0,4230722.0,0.4051647292946357,0.02907929904173312,217357793,4.499475391
Indonesia,2003.0,10441980.0,3406663.0,0.3262468420740128,-0.1947797562685518,220309469,4.780369122
Indonesia,2004.0,10441980.0,3785760.0,0.362551929806416,0.11128103953927934,223285676,5.030873945
Indonesia,2005.0,10441980.0,3342750.0,0.3201260680445663,-0.11702009636110056,226289470,5.692571303999999
Indonesia,2006.0,10441980.0,3894077.0,0.3729251540416664,0.1649321666292723,229318262,5.500951785
Indonesia,2007.0,10441980.0,3725674.0,0.3567976571493146,-0.04324593478762746,232374245,6.345022227
