../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Nagaon,13203
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Nalbari,2070
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,North Cachar Hills,2313
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Sibsagar,22782
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Sonitpur,9176
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Tinsukia,20046
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Araria,2224
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Aurangabad,89220
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Banka,1327
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Begusarai,9060
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Bhabua,5435
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Bhagalpur,11527
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Bhojpur,2338
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Buxar,2703
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Darbhanga,5016
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Gaya,6535
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Gopalganj,2951
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Jamui,1748
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Jehanabad,1076
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Katihar,3620
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Khagaria,1921
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Kishanganj,2032
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Lakhisarai,1665
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Madhepura,1243
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Madhubani,3954
../../dataset/dmsp/stable/F152001.v4b_web.stable_lights.avg_vis.tif,Munger,4273
