F101992,t,Andhra Pradesh,2936817.805597782
F101992,t,Arunachal Pradesh,194905.33829331398
F101992,t,Assam,1020330.0584433079
F101992,t,Bihar,413566.5485033989
F101992,t,Chhattisgarh,554563.7223603725
F101992,t,Delhi,213590.8878326416
F101992,t,Goa,117663.12611913681
F101992,t,Gujarat,2527565.2157554626
F101992,t,Haryana,1882598.4885687828
F101992,t,Himachal Pradesh,187916.45692825317
F101992,t,Jammu and Kashmir,285113.4893977642
F101992,t,Jharkhand,559589.4482688904
F101992,t,Karnataka,1114664.0019836426
F101992,t,Kerala,1123151.836691618
F101992,t,Madhya Pradesh,1579901.2170495987
F101992,t,Maharashtra,3046397.9470682144
F101992,t,Manipur,82257.70187044144
F101992,t,Meghalaya,79037.60614681244
F101992,t,Mizoram,45141.98460817337
F101992,t,Nagaland,65316.5472536087
F101992,t,Orissa,812619.8409433365
F101992,t,Punjab,2015557.7194719315
F101992,t,Rajasthan,1509749.6988692284
F101992,t,Sikkim,21793.118198156357
F101992,t,Tamil Nadu,2338154.47061491
F101992,t,Tripura,119039.42700624466
F101992,t,Uttar Pradesh,3215881.5364313126
F101992,t,Uttaranchal,349886.67520594597
F101992,t,West Bengal,1617756.5569884777
F101992,x,Andhra Pradesh,378374.0922035724
F101992,x,Arunachal Pradesh,15500.983442857862
F101992,x,Assam,115114.66489979625
F101992,x,Bihar,53708.5769494921
F101992,x,Chhattisgarh,73080.9304047674
F101992,x,Delhi,93118.28163266182
F101992,x,Goa,14320.88960057497
F101992,x,Gujarat,368570.93327718973
F101992,x,Haryana,283197.5063073784
F101992,x,Himachal Pradesh,20249.619856789708
F101992,x,Jammu and Kashmir,39252.73438388109
F101992,x,Jharkhand,94677.12490974367
F101992,x,Karnataka,168400.22064705193
F101992,x,Kerala,131101.4687985927
F101992,x,Madhya Pradesh,233909.74038131535
F101992,x,Maharashtra,473934.5480617434
F101992,x,Manipur,7689.035901337862
F101992,x,Meghalaya,7273.77544260025
F101992,x,Mizoram,3528.8550984561443
F101992,x,Nagaland,5948.3505546450615
F101992,x,Orissa,96620.20518732071
F101992,x,Punjab,299912.4331675321
F101992,x,Rajasthan,263411.803108111
F101992,x,Sikkim,1636.8535394221544
F101992,x,Tamil Nadu,310136.28254906833
F101992,x,Tripura,12588.605731993914
F101992,x,Uttar Pradesh,450099.4099519551
F101992,x,Uttaranchal,45942.81697630882
F101992,x,West Bengal,235846.3769712001
F101993,t,Andhra Pradesh,3254589.7630217075
F101993,t,Arunachal Pradesh,191651.8537209034
F101993,t,Assam,901632.2961828709
F101993,t,Bihar,498122.3832999468
F101993,t,Chhattisgarh,1291615.187198639
F101993,t,Delhi,207594.83617210388
F101993,t,Goa,130975.26925420761
F101993,t,Gujarat,2687401.5048156977
F101993,t,Haryana,1528933.343398571
F101993,t,Himachal Pradesh,185056.43819761276
F101993,t,Jammu and Kashmir,323755.52844786644
F101993,t,Jharkhand,866741.0083596706
F101993,t,Karnataka,1138553.9195196629
F101993,t,Kerala,1167910.9823124409
F101993,t,Madhya Pradesh,1918678.5454494953
F101993,t,Maharashtra,3346926.2783282995
F101993,t,Manipur,90104.32992362976
F101993,t,Meghalaya,145039.69195759296
F101993,t,Mizoram,43081.35956573486
F101993,t,Nagaland,69285.64867377281
F101993,t,Orissa,1692323.687695384
F101993,t,Punjab,2161138.6628165245
F101993,t,Rajasthan,1672693.5860731602
F101993,t,Sikkim,26305.710729002953
F101993,t,Tamil Nadu,2387298.9297566414
F101993,t,Tripura,117257.15559077263
F101993,t,Uttar Pradesh,3195475.023967266
F101993,t,Uttaranchal,346727.80170845985
F101993,t,West Bengal,1625514.8970036507
F101993,x,Andhra Pradesh,475252.70444538444
F101993,x,Arunachal Pradesh,14399.69378066063
F101993,x,Assam,116015.15428354591
F101993,x,Bihar,67737.35202786326
F101993,x,Chhattisgarh,218971.61070808768
F101993,x,Delhi,90324.94761061668
F101993,x,Goa,16460.656615056098
F101993,x,Gujarat,396352.2281222269
F101993,x,Haryana,242143.97132460773
F101993,x,Himachal Pradesh,19551.654806390405
F101993,x,Jammu and Kashmir,43094.40947140753
F101993,x,Jharkhand,156667.21840320528
F101993,x,Karnataka,181181.2917783931
F101993,x,Kerala,146717.8060413748
F101993,x,Madhya Pradesh,307913.1331236437
F101993,x,Maharashtra,560152.1313017309
F101993,x,Manipur,9938.562287032604
F101993,x,Meghalaya,20953.79883787781
F101993,x,Mizoram,4755.284480281174
F101993,x,Nagaland,6925.215398065746
F101993,x,Orissa,267014.07418418676
F101993,x,Punjab,315779.59720122814
F101993,x,Rajasthan,291732.26918527484
F101993,x,Sikkim,1899.9896550402045
F101993,x,Tamil Nadu,333317.1569313705
F101993,x,Tripura,14757.150479257107
F101993,x,Uttar Pradesh,470611.1367934719
F101993,x,Uttaranchal,48143.72275558859
F101993,x,West Bengal,245289.15619760752
F101994,t,Andhra Pradesh,3221745.4720106125
F101994,t,Arunachal Pradesh,199145.0688022375
F101994,t,Assam,1061526.9327082634
F101994,t,Bihar,472344.8438283205
F101994,t,Chhattisgarh,891859.9089183807
F101994,t,Delhi,209068.71069717407
F101994,t,Goa,142066.48175549507
F101994,t,Gujarat,2821659.314127803
