time,tnl
201204,10459974.987266721
201205,8573214.067463528
201206,4468383.268995434
201207,3430320.319506904
201208,4599821.579067102
201209,8293657.55794454
201210,10086308.788411459
201211,11462963.276086116
201212,8508473.187541014
201301,8471620.826730378
201302,10548269.096738644
201303,10871150.376799986
201304,11348943.566680145
201305,10228996.9870819
201306,6614668.547156071
201307,3856228.8186778687
201308,5752089.048946559
201309,8064754.478618085
201310,11384397.167814117
201311,13519400.406595927
201312,10481920.126482585
201401,9787847.755959611
201402,11412472.086465124
201403,12352756.196383689
201404,12756881.064127589
201405,10387384.776879735
201406,8259344.737304827
201407,7954309.277490787
201408,8611912.777810272
201409,10915889.037296865
201410,12064402.166925484
201411,9186384.426683383
201412,11501782.895476634
201501,11229880.58632161
201502,13868562.593286952
201503,12901043.686494924
201504,12791684.864631223
201505,10734378.166606896
201506,8471000.827128367
201507,7879161.027603893
201508,8548229.977073513
201509,9901881.177266033
201510,11519970.51634585
201511,13824284.666004073
201512,12574760.72695644
201601,10049872.266430734
201602,10343046.926182797
201603,11600842.95635973
201604,11675133.765189713
201605,11746826.175554544
201606,9750176.466816967
201607,6681863.107463136
201608,8216596.507729316
201609,10222274.176147958
201610,13564059.115618518
201611,11699395.987092402
201612,10820791.066300932
201701,12800751.556470452
201702,15051068.214864137
201703,14562842.074447472
201704,15960883.6694633
201705,14548755.43831328
201706,12635276.791300341
201707,9618003.15607428
201708,12196417.01173845
201709,14295618.119015258
201710,17231319.40028585
201711,15415508.183439016
201712,13570583.915616116
201801,13389804.385307422
201802,15646333.503073622
201803,15543056.653122975
201804,17218825.015845586
201805,13899013.411258996
201807,8095477.124052364
201808,9878446.533727542
201809,13600265.992781218
201810,15061828.422539253
201811,16828178.422629233
201812,14224852.425358607
201901,13905590.355057927
201902,14940666.644665845
201903,16350002.462072803
201904,16362302.192880217
